bin,SRR3963457,SRR3963458,SRR3963498,SRR3963571,SRR3963599,SRR3963622,SRR3963658,SRR3963804,SRR3963805,SRR3963982,SRR3964650
deep-0489,0.003185875891691527,0.0013587210570545865,0.0030709608156055225,0.005024193093928179,0.0018441961353980027,0.0031483991160375212,0.0038759885783198936,0.0016788794248380151,0.0031122554700461044,0.0008463489569911865,0.0016842372780550925
deep-0505,0.013724912734822866,0.02310503179954256,0.024875942634569027,0.018031082695626297,0.018890293936211697,0.020895296529550793,0.018763887435976928,0.00986887167776809,0.01564243887091599,0.013410002128249165,0.016817625127106994
deep-0509,0.0003485994210103769,0.002081906014051616,0.0003438410402403575,0.0007470574442999993,0.002212815032097347,0.0007688197895983425,0.0002869239101807599,0.0015893791948704535,0.0006146092087323158,0.00017038834594368857,0.0003935958492268725
deep-0523,0.0037550835485322762,0.004009390196173484,0.0031120139325385094,0.002583453809677225,0.003830510724466264,0.002943326200614051,0.002153904083013371,0.0012845607711791478,0.003904688243654213,0.0013197562803326398,0.0027042198908432827
deep-0539,0.004487650308285136,0.0025323146704181684,0.008250329923582357,0.006906886015806095,0.006513238790510055,0.0035582310943645273,0.007541809810184919,0.0036763949350170333,0.008057651664561375,0.00593727680516296,0.007007001200904079
deep-0553,0.004853002824282352,0.0017151442484692506,0.008606169718771204,0.000928344315699406,0.0052488424697979645,0.0,0.0009672353214592193,0.00810788430837817,0.0028281944962912225,0.0014315386413932545,0.0023319490527813486
deep-0564,0.00020583346853085416,0.0028849647314917863,0.00297927080820034,0.000523856066724168,0.00042110060347149266,0.0004226937399685877,0.00014483405215136882,0.00025509701170036266,0.00047668149581900376,0.0005098610323571735,0.0005628720106530126
deep-0586,0.03070097532814304,0.040211340867062614,0.051817406340268386,0.05116756288272528,0.05489649153286532,0.02354873047807246,0.04504880724002757,0.043552060851804235,0.017718563837668337,0.022704132502574973,0.03617607357050199
deep-0592,0.0024726279262223404,0.0013533524523676001,0.0009469728396163374,0.0011491778253977486,0.0015323976401297337,0.001213598313792894,0.000406497299000798,0.0010626871364962345,0.0017326205209923285,0.0002890852257873118,0.0007808349808819859
deep-0617,0.0007678885925862455,0.0004078659399965708,0.00045569545670085757,0.0007332529586481566,0.0007119319921441769,0.0006459059390051689,0.0015331043359549906,0.0004693224741155096,0.0005346614880420607,0.000697467308553929,0.0008534380511935727
