bin,ERR598944,ERR598958,ERR598964,ERR598985,ERR599047,ERR599166
NAT-30,28074863.033480927,427651.69620477513,1193498.193918395,4214271.094824511,106773.36871359468,356794.59137933556
NAT-32,2654.3023144573276,1310.10362389604,1673.2410676632337,17084.81229805056,1205.4339503050162,8842.772287154741
NAT-33,160288.44925615902,85744.04159454463,173120.2421610129,248187.04124680455,110862.9371130141,212793.3258702437
NAT-34,272826.15842562786,311887.00448082504,345724.8689700738,202077.63366714306,295059.1228390733,2082892.924024924
NAT-39,18661.051488301877,709499.4238810628,29469.977705682075,5018.195627037136,19882.516290731128,28383.078502864275
NAT-4,29840.24342118703,40294.185489876145,42839.30256249149,86133.5562234531,25895.290365305747,20664.87229326933
NAT-40,15749.78955288462,162108.3544859844,180882.4393235334,16031.394285598331,17249.69033267319,38842.6889290966
NAT-41,8835.077352025492,291760.05749995605,12789.812061190927,9678.483515227757,7279.064266267701,19212.530649393768
NAT-417,653.9136056643526,175941.28477529666,1615.5112282861105,2994.546258997985,1686.4785670162898,2365.7657275481556
NAT-422,8431703.192703452,3644053.1723766453,9629359.383059947,11588795.653524473,8513496.016390378,13715749.465518247
NAT-43,5861.174120441977,34020.29881262618,2952.4931675044813,2341.507892184628,1587.6125857404115,3740.2695077857397
NAT-430,1266.5972699465487,139996.93579600562,2209.5003457675516,11539.198847602389,2467.574233187965,5821.131251804246
NAT-441,7720679.92145617,5727658.844140292,7270509.843353108,4043409.138610397,5688283.92911631,8277827.562836133
NAT-45,115215.28818680492,308085.881042728,89568.38758830348,69951.85936536366,66269.34737404341,146642.49165230434
NAT-453,420.4782930427639,2142390.81457503,2984.003736369599,1488.8737103242038,6001.472102294006,9727.615895952571
NAT-46,73185.31913705193,58011.6598572978,276879.9591340232,49275491.451671414,25148.85179675428,118265.08530344955
NAT-5,954813.3133283653,394271.8439937125,554865.4640879118,539591.6160981986,560155.8601905531,1553498.9063913904
NAT-501,11968.375867450459,77645.98056198511,16432.521805688186,19440.580807741197,12159.542438938633,8755.974929899527
NAT-509,5771.984547534485,21121.761216503546,5136.850072518763,1864.3961016975372,27240.91433801787,24103.576247249865
NAT-510,5294.275027981514,27243.332310729864,7091.475887976955,1157.2583430261002,14847.1432129417,20732.571507692843
NAT-52,33120.94300072987,152756.5384956042,32323.653054637045,18115.926972342393,30900.825874596052,28257.091715822426
NAT-53,2052.411238655579,174803.1881766414,4950.464236004157,2190.1151859304714,4695.8883228008035,10241.6804828112
NAT-535,19840.70099450798,7373.218438561991,6700.529692583151,4258.522769589241,5154.890654637908,5777.228771248789
NAT-54,462083.545901505,39605522.93745856,685294.3612562716,373276.8583457106,607835.6588187966,387766.94649221306
NAT-55,14371.61655108028,110522.41564201462,25660.693342409242,12593.368732174782,11693.504714673196,21914.886824696514
NAT-575,4113964.408955367,110047.27406911053,3669698.6501768064,2678387.2015519678,2583086.7288968847,18553628.10905316
NAT-6,12045288.942837883,3173254.8716808455,7272836.012853175,385163.629274018,2541046.9243002627,1516013.0787034356
NAT-60,30708542.060725264,17753819.609742004,41607592.99450461,30817597.64607523,27778187.11988108,46989789.189073995
NAT-61,37147.959417210506,96164.22320550954,58664.48716296051,993993.5820158495,65358.426546774695,137902.3485686395
NAT-62,54133.8567267823,609105.1858874818,65939.16759483848,49523.599189392524,55168.0156179728,59792.09184067132
NAT-64,1557154.1840867333,30992826.468802463,13733219.171925059,95959347.6140506,858404.317068017,5476373.974614234
NAT-66,9211.142099484508,1776281.8017847745,26611.087843049634,11508.985559902058,20492.078752156864,9826.147112298713
NAT-67,719277.0463096256,1868258.4183563567,1098816.5622920007,10017568.6572568,777523.0446730831,1640501.5779794916
NAT-68,12395.669178607857,45658.05212120175,12866.055495531358,29586.07413078181,11622.116903585016,17200.476645990067
NAT-686,14246.026452317403,25186.82334376871,35309.69758107313,13397.2090075066,45003.66253771214,104621.34171285071
NAT-69,13002.669589152438,345187.31628469314,34597.442144367094,126478.07816004375,15032.045913751288,35290.83176527245
NAT-7,10859083.976523971,3888004.7535772054,8809879.058650697,901036.3502337203,4086087.709637437,5056820.789900457
