bin,ERR598989,ERR598997,ERR599030,ERR599052,ERR599118,ERR599142
NP-96,23809.575640548577,13494.993765925967,336340.6451818113,161222.82624920658,72537.51669436136,49869.08408994713
NP-960,21260.918611167428,7420.167358771373,10508.235612691997,51459.93957291909,41939.0845759609,1593.4483806293626
NP-964,3845.571570232027,872.7915547542083,2740.9244316023132,2722.1718734034425,7239.570668990324,1094.3648836206278
NP-965,24089.37773484531,3416.039377363079,27178.278581088925,6129359.945506221,11096.395098945091,686193.8718074545
NP-966,49096.96475309991,30501.324662840892,88203.28220403465,46620.942516015115,124891.55673818718,86793.26638226464
NP-969,13154.319206192693,1806.7300658240713,6903.813687235222,75667119.35732302,12669.848300214993,27229.661602805103
NP-97,4849.611599163479,3569.9112003111322,15212.28196911623,10593.58785356225,17232.156232068915,5323.214840108203
NP-970,174303.0574833804,21609.758028021442,91141.68574682086,427018.27284729393,111036.45747257264,109767.95329696583
NP-973,8807.571015863457,1105.1795726146624,36516.472466615276,57445.20345915068,6863.90397750314,6868.258342176251
NP-980,1027211.7793719355,58662.93688226167,155691.8495963778,17474007.552524284,295632.2744043879,74756.44420960761
NP-982,134.3654698941824,27.609504132231404,192.24451702247046,519.0029142162139,206.07968806167662,197.64645947211966
NP-986,231006.50520881396,115811.59048166886,104031.06989644427,7982160.619036863,697876.1630848208,351166.0097033742
NP-987,25582.514752791503,5727.5181488895,1090066.3280918598,15585828.845103253,37730.99947040503,3041965.455064096
NP-99,43218.26593015382,14345.624691298219,540956.1674030024,222196.39036570137,88146.38985359677,75697.52200475533
NP-992,1334.5874568443803,293.5822007238914,2294.992309201089,2905.6626485605802,1442.8494871716243,2329.289766224898
NP-993,25335.115294420462,1790.8458462001831,89163.57741682517,50509.64943078768,7973.857597833114,26132.39793964861
NP-996,2553.384630614957,251.04590224572243,1373.8893085579389,5695.746303570437,2250.916810375793,1459.0643711729683
NP-997,32208.56375004558,4880.328614774596,13188.536835041572,12554.725794729899,26570.872753996664,9233.05009545957
