bin,ERR598950,ERR598986,ERR598996,ERR599095,ERR599100
NAT-181,197797.42735463643,7678721.040796616,2877341.5220951205,1277218.8800091734,275137.752154212
NAT-182,810010.1249014062,1646165.6169612587,442161.443798236,5557736.437845079,75805.81198295036
NAT-185,831027.703625818,1646745.2058260802,1156351.8029619784,5392123.200212815,160439.57478301218
NAT-187,381027.9092602359,345446.0074520788,107660.27022355807,2607106.508996487,89132.7361946746
NAT-188,7202.6877805325585,287854.09233860456,10764.484949363661,45136.22826312221,17380.291962718093
NAT-19,3674.893761839867,19707.288066860467,1690933.4624712146,24686.284332192015,95581.98506291817
NAT-190,133644.92728094367,5603667.039358324,2421943.0530405273,895072.037287152,345601.56905893824
NAT-197,147738.8985223218,453159.8012288157,878242.4323504464,997993.8756285278,101936.45260565515
NAT-198,32715.559981138827,2113694.2952570533,761690.2645348439,236337.4402274788,10802683.770790119
NAT-2,1265.368938772004,6137.815295147124,4146.642546761601,5042.487669302648,5844.136542536991
NAT-20,1343.6672842179637,47259.67205175352,739377.9632412087,7762.849118250836,80163.41342707936
NAT-200,2197409.873130768,8020422.4719997225,1940036.0859228296,15360137.306804117,321265.74910036824
NAT-201,573.365301146164,2259049.099045681,7786138.046231877,4883.252091977079,10911183.599470595
NAT-203,135248.687050655,1050554.615170125,365613.0238578553,992194.0810203522,6140353.873270942
NAT-205,1725494.250714449,939969.8357754255,265937.7643169729,11606750.891494904,140734.70706221816
NAT-206,7767.287960139915,506553.2633888177,14557.819133355737,44556.60690074463,12107.608251245285
NAT-209,2173.9957223176484,1758634.8029579758,104592.24376404582,10919.056725513317,3640708.617940898
NAT-21,1603.743424742439,31496.618708738002,708490.1071220887,9189.817439629645,311454.6713383931
NAT-210,944.6538872936535,3892757.3997268174,32838.37277021784,7995.538857859696,4522787.02147266
NAT-212,615.7606357738384,306136.98313072196,16239.581081551834,4116.945895745838,2465855.7329908544
NAT-217,18698.68029464873,1302999.1660978654,2749149.911512258,122755.6449374447,14051718.901741024
NAT-218,583.4243362672356,10084.16472709202,429.61842791383754,569.517329532699,63.978709248170276
NAT-22,853.7826211187852,15554.747434488158,1504699.5459476556,6225.0787399797655,71955.64264921787
NAT-220,28860.960162596573,5345693.171840591,2907437.7926869364,184780.46555877494,75017.96047412534
NAT-221,73608.45583513338,2968189.013673304,89535.93033584152,460563.3725504723,1023.4400554625977
NAT-222,43167.25819931945,3038062.07113888,1211062.6258645866,301689.0495365755,524548.6582558427
NAT-224,3048100.815859094,3591529.4081781954,2045788.9931646253,20727341.58880368,156468.65918917817
NAT-225,670114.2264080744,8649661.960575301,187838.6423611362,4219954.851647292,32256.345233757424
NAT-23,602.3552246460258,13128.138837307284,2077363.871520438,6174.363066220889,111204.48142391768
NAT-231,402940.487152294,317365.35016772116,169551.27953427593,2621871.0216151807,47015.40974971454
NAT-232,984641.7822279129,3508137.507993702,7179332.2661117185,6448438.140225409,1234314.604754403
NAT-236,71137.05176622441,310898.37695519277,221887.68465975035,510258.854435114,86166.94576119265
NAT-237,1573133.643161604,316732.79977428174,121248.15618817288,9609482.070456734,60507.817330147285
NAT-238,136417.7038019878,6855225.480900773,6965360.411426881,934522.7973305447,109668.58559209494
NAT-239,3587.5759381095772,47893.69738591719,144757.50706931908,16442.06143068893,105185.13458065693
NAT-24,386302.0644391213,1124410.0039395706,156057.66502588903,2140874.2545499424,795554.1559226541
NAT-241,22571.319028334932,1540016.885596142,230086.36482747263,142070.82003153392,17687.170914994484
NAT-242,40700.25600262242,6665078.9665825255,10566376.167822564,249393.52633287676,99385.71591218413
NAT-245,318994.7060515983,602060.8542512131,5302105.257526251,2141079.2301672283,51984.96527387358
NAT-248,86941.44127112479,621301.837358994,1070654.859177321,574579.4163487193,40019.813572211715
NAT-249,65538.68620421409,112411.04947951702,311966.71295240487,404590.1083707977,76774.39066391005
NAT-252,2246730.7872583573,11876384.137627,11841447.256049948,14962281.24736703,1792923.0775185674
NAT-253,236.4897516009184,1215987.3521624987,10069.482711384599,1789.0942061844771,68592.34155570707
NAT-255,5093515.533219465,21279803.983230513,9285425.154100452,31965091.938921113,31373.65143964347
NAT-258,2251.2229923631794,15812.721378208775,26861.655152620522,14636.87057979167,32309.474255610177
NAT-259,1001340.4635114678,6196559.575732211,159213.20309154445,6336046.448012389,2940.2216079293053
NAT-26,4420.680849827291,143861.90625998777,3124556.5810374795,43254.4823939119,424252.44467293797
NAT-269,567713.754147383,5121727.893935652,2368355.760521433,3812331.952912678,640707.6603055162
NAT-271,8861.363852684915,75011.4026080335,1506835.3408207677,63025.3346557059,4966013.8537567565
NAT-272,7522396.225913904,5127990.693804486,11818719.796021799,51062575.0767423,1981696.1745720436
NAT-276,180.96264270544552,52440.81138332297,186246.590366142,1725.0187490652022,8445165.414881565
NAT-278,269858.55165053945,9339163.225804068,468313.07213812135,1782789.505494376,45632.56721256337
NAT-28,8315595.810292033,163610.56908910756,253362.58981532342,49002387.63072807,705628.4908269149
NAT-280,57777.54701461402,4442954.322123205,1317479.6739237558,322600.53881310276,6704300.784203697
NAT-282,1027.4094759841432,1624545.318635482,113958.2371214241,6218.732002647283,15391683.545897685
NAT-284,2804469.7535689957,40244948.7023531,9767707.15502216,16471705.843763586,165336.16947804106
NAT-288,59097.537488280104,211528.63237796072,322890.3548055694,369109.6436196445,128126.3137767373
NAT-290,11.305891848264725,3690.330099963584,181488.5059099945,211.40445356494968,142493.1860255461
NAT-291,1127.5275799306273,36524.33155335468,105525.44548974583,10588.801856670134,73162.6014634521
NAT-3,1790.8133141321466,62821.45342299662,1165678.0929402031,11726.435967767284,222727.29228872844
NAT-30,4102.697217964009,602276.998464236,225631.4077283693,26138.220628920215,884434.3436167475
NAT-32,32986.176806832846,48573.52489727818,12606510.07660932,198610.93443757176,11447.749084927884
NAT-33,2786.5006617511203,80121.81875771302,5464556.626472177,13181.563863824013,125025.30989553734
NAT-34,1681471.5988855937,2012172.3736933374,276131.688127999,11062587.533102786,52562.08789222585
NAT-39,1830222.7929340838,20013932.716587108,14486597.39105828,11397594.32235026,67504.25405996968
NAT-4,5651.683903733499,26516.35885677071,9848425.420660872,31062.595098817023,25618.07189370914
NAT-40,2332639.6038423665,398883.8871140488,4806183.074253977,13207747.84253651,1175229.2891761814
NAT-41,1662415.1288801027,8702274.97246633,13285372.35319849,11182624.718051694,2827946.89026419
NAT-417,1897.0302147266043,161563.49104861156,226346.07622382275,15250.185308567345,5721877.119911212
NAT-422,198991.5365459777,2106069.369107386,319260.391124887,1400560.0589500195,34322.070555635655
NAT-43,695171.7288089062,3614807.937296431,3997361.379122476,4309078.7682946455,182151.02953126834
NAT-430,7206.161968522099,69969.63933791802,663014.7590549731,57825.13234534157,9586921.27133023
NAT-441,5236.409080007318,280488.4499992918,21957.04982917805,36509.129938395905,34150.92278183255
NAT-45,1244338.2365308413,263940.0609170415,1832187.63613897,8352424.228920256,62355.07951293196
NAT-453,5369.413326917572,511827.30117479805,686854.244772035,37978.90011016465,3656888.3003126928
NAT-46,309.2073687377124,10570.348501929368,63349.84211960533,1927.0921579956257,19876392.830824777
NAT-5,1878.8657326792206,130176.75691556829,57567.080067128714,13261.271120581248,161507.26100331728
NAT-501,8471.981698809333,477736.37480390153,340001.0285419071,61225.914372460145,4364919.318009773
NAT-509,88240.13268086255,762831.5407261677,51881.95586556469,588459.5722769644,10188.777766301346
NAT-510,15819.18787137292,585155.1687431064,154235.35501934148,106174.70876520353,11693.258869570867
NAT-52,1736836.592539515,20058767.287921574,4620947.375836338,11477681.838774249,400115.8391871518
NAT-53,15960.91789477203,626456.2163130399,1301930.6531114222,121732.08629482109,1367085.0440060045
NAT-535,262137.45021051768,237134.27644877668,132331.89821059591,1713367.8025335907,14580.60675795248
NAT-54,87840.49029258607,8555252.495081931,169015.38164562132,522671.27066783886,134744.09261438382
NAT-55,58447.29838162389,1243717.6113051116,5457165.055881636,426300.71465776017,81447.82843854332
NAT-575,571.5497205335736,13851.637695301979,376.04038706977155,847.246638865958,537.180309624581
NAT-6,152.55587067674077,1518196.3463610336,8507.028749069726,1050.3667996383942,203336.7581551843
NAT-60,4903.580513263007,4287505.102624359,421777.70006729,20961.499346973786,17370338.482089616
NAT-61,1969.1754697075603,54176.19404021583,41664.31617589144,12947.124041246028,20668910.431732155
NAT-62,51217.48768051092,263107.5203087289,407631.5475002104,376362.0923577683,18510371.469845355
NAT-64,207668.28243401228,2539992.231782592,1224547.5381295239,1191255.8331789067,3088615.9697886133
NAT-66,385523.2003307362,691166.4813054358,881286.2942572244,2366953.7385437614,7144105.560535056
NAT-67,9286.01196254077,621357.0159858444,59798.110691661735,50047.01337738058,10923501.520138487
NAT-68,359579.19576347957,299575.6696246706,1715568.3040635427,2168922.8421349386,12276958.180591783
NAT-686,28371.626365038956,201727.15153804192,159532.4178785058,203072.64151676232,32571.23951590561
NAT-69,11108.670917698912,170406.4998282508,169485.72818394398,78776.3467323438,17036804.583062597
NAT-7,2943.5931140604484,2616029.1767302644,90169.13736761002,17506.98852005449,242926.5557376481
NAT-70,33175.680354139484,102643.9653501562,313514.39948597236,222461.32514634277,10678861.735745125
NAT-71,165777.72540816848,4474819.306083123,15405287.364862494,1006394.7001367583,9425760.995300742
NAT-72,53753.63709631248,432124.35177090846,882489.9543594236,413713.38205699436,11267892.870049275
NAT-74,22202.638163305,943061.4418649722,960285.7865196865,174428.68575241318,14287340.131725008
NAT-75,9609.45231354976,146950.48071045466,1748033.4226643222,54587.2263520556,5691935.439671575
NAT-79,109454.76728968878,3352630.856334642,868580.1195600214,670889.786464131,7042766.824470205
NAT-8,1271.1689640684112,2310393.7386715817,64903.39828072401,4763.624974868164,42087.38597884983
NAT-81,8154.5961958241,182644.08977396466,48315.995166457054,45292.296894711704,34818.11201349995
NAT-82,1652.7540093470604,35355.925736636294,64685.27358984145,12932.553954005181,238983.97547771616
NAT-84,1404.003421210635,32969.594944281285,14044.595414548738,9835.768761179526,27569.457798199383
NAT-85,285.1275459935008,2422196.417544673,27136.699476058937,2998.703149784603,569385.1200607871
NAT-88,17254.80607439171,1091063.3593282388,550463.686895415,136357.60408632178,1143895.504641157
NAT-89,1630.1814323907795,795312.5318517156,20081.40174741669,12031.628478775892,871579.5257347069
NAT-9,1811.41320948035,3326467.2278258735,113987.94508218698,15509.41738194994,257801.82009679938
NAT-90,1043741.9392170093,2068892.4376037181,2551814.540149783,7306629.784142279,881509.9728997804
NAT-91,106260.88779278006,2938291.534186866,537134.5578169386,558421.7385365397,1896995.794524952
NAT-92,2573.5352379630276,3288578.4094415447,6909009.965769191,18885.0396498461,4436313.264386485
NAT-94,8717.522135499212,25346.47820269173,1570588.1881961462,49354.37406635962,132325.43937206554
NAT-96,72835.71219520936,2928570.7793728043,10909238.216124497,478336.7368717325,241020.10406578664
