bin,ERR315857,ERR315858,ERR315861,ERR315862,ERR315863,ERR594288,ERR594316,ERR594317,ERR594358,ERR594396,ERR598951,ERR598993,ERR599043,ERR599140
MED-597,1247.3701886308522,9980.179558530848,11488.853098690199,821.8444416475667,424.7893008615275,3372.8820114052705,633.7288477203341,1719.0684481360481,609.6035993996743,344.7923447681805,614.2725855662978,478534.80557315896,4894.2329132151945,72722.33695648685
MED-598,48858.239957981794,1027232.500801525,1040924.0446585809,5224662.585535234,2954490.7020314443,87522.39205971839,12429.453235735076,46905.10339758556,60.19970292388765,65.10815666308014,159520.91803673378,2704857.1552637303,1115331.520306749,400241.7235695437
MED-599,21264.446695531828,53618.64403759586,52584.22555241645,900660.5365546548,854139.5931112651,21657.684327978226,3633.2351436455424,13979.421708062193,103766.62888350498,222720.2271606353,26688.792045285107,303592.74863781617,166678.08049522174,44530.38967562854
MED-601,9889.145750788139,59976.55272011627,59507.59974176735,151.63580195423089,4564.413783754355,21455.784901325704,2552.0961470978946,7701.533106906665,14803.387736301904,277820.2923153624,55930.81385324029,3601.928493664651,375392.451233941,743.2750287441413
MED-602,693910.670242355,403257.52765134553,400753.930583535,12097967.688177004,9748817.198887136,554313.7520992191,81181.08262329882,279964.8968896058,2599881.676501971,3453324.649809619,266009.6367574782,1428960.8263703024,1889807.8140913213,206208.67288285188
MED-603,47281.26536060754,9530.103340056545,10336.695866915474,32023.290492202123,31438.85617200075,51544.165763567085,9569.56104701127,24207.376004080397,1477.0628242469916,308.42334034232783,4397.483524414654,41555.0105908192,33908.16865987773,5457.52262703381
MED-604,131745.8925600383,61052.27569583413,61819.204941073534,551543.8238694924,330504.8646533255,1700427.1813054634,250165.91535928508,757005.3510791833,4520.28179391507,2952.064522732705,58102.08199856506,68025.85654115444,407117.89541569544,10257.17942549506
MED-605,3559403.7304724255,1049867.6577871558,1047938.8741441198,2800055.9671859043,2170571.9369236142,1934383.5398114761,268500.94376454427,1004834.2221820207,308364.2368908331,1386946.3633502256,651808.1311936984,3790341.884117403,4817777.832688034,497815.64305253216
MED-606,374181.5154527531,464397.56933595444,478440.2115216239,237029.09317525587,358357.6755474181,353113.44256229803,51269.77677481596,178902.07754045754,200646.1948289455,733938.2499454177,634773.4560428306,333219.8257809899,4274964.014703784,46691.45470502801
MED-608,2003.0248366018136,11177.293376622896,10259.637950571156,0.0,2735.7550511334375,57693.07444158106,10726.864444418747,27760.625032447242,7311.3402534201905,45125.15278412352,9238.387120039235,9027.504014018412,55356.026275246644,1374.729823183341
MED-609,7735.131006477205,6206.142329679097,6345.112916868029,82768.89449100888,304167.263941401,41165.217790133356,6806.679287742744,17934.970905570117,10800.282655033428,2637.7021979718265,3666.433389104698,116438.87373027927,25182.09791337041,18187.468633531018
MED-610,2786404.56427914,26632.0838273817,28289.716964843105,12042.224230516067,65680.93125636205,4518802.948647548,758155.4134768179,2213021.043618201,23199.859104362684,7394.658678080772,19022.085404111243,151908.98552702935,128928.44825011933,22931.99778266626
MED-611,2580760.538076736,257148.14028986235,239035.99182374417,63542.53907652175,155563.2509963436,233984.26921207106,37665.54105918991,112560.02729988127,54339.109463587636,126658.85980967489,227685.8649400286,54962.723508151525,1432253.4580049769,7108.416221137348
MED-613,53896.6817096247,1124123.0294263235,1112244.8990686147,2124757.590270093,1757570.4094033549,73042.27017010756,13071.87390203259,35736.275402540974,1113.5962186950592,21417.120753323954,674862.4401081451,2848284.37687026,4201402.102452267,420473.9714328589
MED-614,13158720.162858164,960064.6527262647,950993.4061007985,1086101.626962437,840316.2193312496,3887105.5922800554,646307.0511209312,1936431.0722187166,6574.89353789195,125801.11106603137,421840.3385842726,136421.10307845086,2768906.1222495395,20237.512632145237
MED-615,17995490.2630729,2440488.852585439,2404953.920709927,2450956.8334033485,2392804.582182419,8970571.946272692,1527141.8575413378,4344731.7872869475,18407.32328983128,1847.595565636024,2634143.7022595666,1073066.944669526,16136787.320808487,157556.23553389637
MED-616,68880684.17119433,2980363.638074776,2986501.4084733594,904245.4736045038,651725.8667337965,30332758.74685711,5042103.268021844,15035670.10918634,20639.93989851705,10445.410881711576,2299304.536844105,1098358.1908606333,15037118.0826183,169162.4056749881
MED-617,8088752.870406782,2050309.6954509534,2077226.7222956396,287062.6542975652,246209.46742919786,10738625.276723882,1725376.1707298998,5519372.08564399,1069.2639642840145,646.2824799442111,2118984.350617691,952125.9896017339,14687513.131211989,136045.889985932
MED-619,18720635.795226134,619260.2089369368,622068.7521875448,7909131.118100951,4604022.56888322,13010446.222137528,2164838.6333231777,6426750.014564391,311665.56775935565,62824.59610618403,163408.88805624674,158917.4952202723,1094912.7201009805,24051.279723522937
MED-620,8336389.394118629,2218181.5886026374,2198159.6636596858,678659.5235283672,2008594.3847467713,2809076.1520733754,475814.13179296517,1359152.3488388222,8836.39731158164,15288.725315523676,2669888.054063191,419318.0880762408,16172764.609520862,60315.65098085251
MED-621,8901661.950418888,73428.238651316,71793.59989018897,1066346.5264951624,606864.8172943424,29671855.868282758,4926973.693466097,15084220.533544723,505403.9183100565,3177.7751086529215,36600.45713393769,214410.10401136827,252862.81022396628,31195.699365828474
MED-622,9600406.09910151,80590.12627016548,77264.81040913744,606927.9893510838,791651.0637808469,12965803.066307737,2201478.9098509606,6356755.058999707,70988.99852762192,26123.2884041668,98524.55398486278,161575.72956275815,587177.034299607,23152.846661638145
MED-623,15529622.988388887,617300.6280787195,617593.5429926078,778795.1734301759,300680.3217953795,5518040.145850407,926633.2043252605,2777541.9224141445,75151.25680591464,29102.228772517978,114454.75483639355,555698.1325373517,726319.8425300282,79015.27482596555
MED-624,13104584.016732717,1382.5540308699933,1076.613065657502,534.901605025339,16188.772996695965,19912758.18472678,3454516.6792914486,9579966.953350572,201162.24609251376,223172.74879459513,2984.1145637573163,14022.028772059299,21151.614249227794,1416.9102558790175
MED-626,4235205.223724721,12414020.390429808,12287342.523986934,7499469.785678523,13498283.346004456,13763665.805925367,2358362.4505903954,6720438.11036752,3296.2266880058264,5971.637558384863,8729074.093025308,837384.6478239202,53752729.87358551,124544.36178331576
MED-629,84811.95903246863,5905.936041761872,6863.0282310237935,1499.3389082017436,6249.2960611048475,35859.51865244574,5053.357866802706,19918.079871091122,2385.883422517889,513.0687949574983,4561.478697145267,45241.12804349335,36877.28068033482,5864.197092754966
MED-630,240111.1832933046,4577746.045836351,4571028.835217825,2415277.097251422,1549400.4656174877,254816.38304161737,54072.403365011574,131510.08191475162,7705.568202252991,11416.031282649326,7764334.971147913,64741981.34910852,52095113.20977795,9541305.41870621
MED-632,271595.80580622423,255104.30563053375,249722.28339495626,13119.071088842149,75198.80099443137,133890.78891780644,23222.96051824337,67423.47776245786,43735.50148711075,234278.51290408292,151373.74561267765,948275.3395769623,957756.7615615794,133003.73273613054
MED-633,4581135.071264185,33521.240366138314,32339.213158322462,6178.497512314541,87896.43825752569,9989846.566394841,1711354.0791184844,4768721.7835894935,24219398.315341726,13883093.191577509,765194.7809252191,506145.93086012965,4477393.428482869,75590.5239627511
MED-635,14596.558897351917,41629.483512173625,44456.423299300666,3566.529456171552,7642.399033453485,5459.830415418673,1230.9614911233048,3405.5679438980515,78374.1916407384,34420.84861150078,5296.59206729006,1711287.7829517352,31196.314438944795,258142.5696054251
MED-636,59654.83939754217,145949.48838472483,149262.09992033965,308684.8194123309,226130.31458985512,72106.6934025193,12384.029456802007,34349.707783157486,583.7547069451094,77.9423967810492,12361.308206763955,2059067.4294002487,78151.13113643129,283789.44793877605
MED-637,2171832.2907156423,2524255.6298480714,2532488.919137656,20201.74299247314,746982.6963668704,2796671.973274605,483856.24782075785,1331724.1405276647,22123.535845971946,25784.84448710728,955787.2007238348,13769202.264567457,5552734.447080856,2169668.0001421627
MED-641,55204.22437400659,143587.87366018514,145647.5258972993,297400.4856498247,300682.4925224453,15755.597832300791,2395.645734805219,16076.33098008466,88.19548022677341,0.0,24238.587929024132,1812049.1028308705,158442.7552456952,275089.1102695938
MED-643,59991.9617845325,1253558.5068552631,1221310.9898537782,20549.646523018622,41465.34991612618,87343.4606251933,14439.845502141488,41332.17618403157,122851.9214655047,415057.8415040072,303913.63710374245,1215511.7143888648,1859617.7808926313,175264.4070651412
MED-645,45206.5374757006,1376870.9639143755,1402914.356314722,77750.27835958356,79040.07637473827,48230.58100195645,8035.6407346545675,26870.058588911663,0.0,9.97275204359671,136156.92326228184,1643732.8023190452,954306.3390000659,231439.2683193131
MED-648,2872067.8089759704,3078006.096799893,3142344.3850182863,4416129.828228649,2715141.938277757,11512511.488780335,1896236.2137650708,5846075.102147681,691.2738507508433,35.959833072509,485689.17022274743,9637175.602081386,3257106.4398593456,1333329.911299824
MED-649,39556592.18252933,796686.1854724223,805116.5630706052,7954406.236720365,4135824.676010099,48532949.277372845,7986925.046345111,24643741.962264705,2446.042216465977,608.1644316838003,798709.4708518314,3417796.861273358,5339799.798970666,490862.6980320084
MED-650,2522814.969735879,502748.3596607635,492981.13184258447,65733.29414256813,767411.292037029,3675296.9984820834,614374.2896897946,1776445.6925945748,3972.7550475327744,9558.333556222437,2267373.621786803,213896.69063368763,13785955.32430711,35031.809249692225
MED-651,347156.2344031163,31822.37082316567,33257.69715153953,370536.69159601844,223601.5685257534,19230392.816373352,3194174.370198023,9736904.383913469,52611.053380671096,11297.62069325177,88556.53640122533,1342358.512843999,592817.0355952724,204205.39892915936
MED-652,3339698.406209042,668431.6519657304,685809.4853100665,696945.9322078878,622675.3863995902,6151701.163953939,1013824.2344133877,3116566.000204801,1704.669577010574,1213.9459393975008,652782.423732007,1018925.582245308,4393937.078178339,150891.51039229683
MED-653,1718121.8003547902,45034.96378440666,47578.14527463047,92586.51667860747,648493.2424647113,24071306.27622023,4167361.961819887,11665142.901381673,509037.978427921,689733.9471125514,163220.70306329156,299444.6316381886,1027852.1846472338,51136.96572758024
MED-654,46506875.81494709,1270044.8450123165,1273590.6337400055,14553453.139771381,8031395.806072353,38774257.966556095,6406833.715950994,19661424.31830693,390888.7165077834,82001.062148753,318162.6286872872,2173755.5559717068,2097322.078836391,306899.9872388206
MED-655,21752.873403611688,161044.0284739307,163292.4192798685,2822.9105766701477,10672.679194110626,42274.021511417835,8641.979341903882,18154.234721300978,730.4834546643511,262.0746646356022,72777.70625933947,9937564.598291364,474052.9111455097,1475405.6562131485
MED-657,1634047.6881004407,1195962.8620977278,1215374.0130875723,1354709.2765830087,1885987.0877239618,29897902.456647158,4968258.349599856,15142468.005226463,746171.8519835969,811127.9821663451,1744387.118726822,939813.3015746253,11719109.877937773,136653.31002772244
MED-659,8683.234767474172,5364.639131935376,4429.17052326555,436.15386031680333,3358.1376946390224,8252.792030800163,1284.214673193193,4554.6107511683485,412.68378712661115,85.4965375257346,1429.4083951054463,536059.1326608876,8678.560343280298,81881.00352675501
MED-660,19812.754071123716,12354.377828525641,11418.122512493672,8884.420454519386,17469.18449009732,12618.51446261328,1546.4933562561328,6306.91737605208,5224.562860927694,1528.2561320953293,7683.5674182726325,17557.8112030302,48606.35710166548,2541.1706948009764
MED-661,612748.7749659928,8238.90144840085,8412.11510706231,723.9418957967576,9160.711616087316,850150.9991954144,300517.431594776,396665.773489728,8643.387876500783,3134.6947072776074,11034.617030036341,204244.98632850245,50276.39950696969,32676.10988929848
MED-665,498054.7868889684,7150.315400165747,6298.131218032996,38086.819693445905,40932.49280913583,3961252.121284336,679808.8519914924,1913103.2432833437,11687.191890960718,11321.383005973074,42153.811363467044,15527.047949572301,260582.52574768107,2782.239642232219
