bin,SRR3960572,SRR3960575,SRR3960576,SRR3960577,SRR3960578,SRR3960580,SRR3960581
NAT-422,348.05738882463095,25605.9071599187,3388.228492638016,26340.353657297237,5637.95404683732,438.7984232194624,149.78557478557468
NAT-43,291.2831752244804,199.46451333535467,3683.826843655867,2075.471134897152,5249.472563870224,113.74911145617666,0.0
NAT-430,49.96320824135382,12216.96707332716,199.55210955048577,249.47985353124378,1620.8788102494834,149.57840337277298,0.0
NAT-441,895.8224029570157,23147.48502047733,3945.391642343408,19836.67721736504,7520.388234858351,894.2984271165221,249.44534520351928
NAT-45,199.17142673606935,3944.8552211457886,942.5743026201262,3213.335365000149,1888.9935392831972,1198.546946847203,99.6031746031746
NAT-453,99.63768115942027,67220.06305349089,199.64378221571684,49.87341772151897,0.0,1470.6006032293542,0.0
NAT-46,17468.67193062005,5576.223012370284,16449.079581058413,5670.502281302014,14391.806008230073,16050.609382831699,18048.690531265347
NAT-5,52688.12156908802,67156.43136972986,63363.24450887778,14381.041350928803,45758.197585001726,142325.2645481198,63462.928198524365
NAT-501,0.0,723.9704048448159,199.59866339681778,49.596774193548384,0.0,239.06957746748276,0.0
NAT-509,0.0,442.29884536365705,0.0,247.73802638215648,47.32394366197183,149.52245063513055,0.0
NAT-510,49.77578475336323,111.99121464888135,31.869918699186993,299.3210544397001,0.0,99.56331877729258,0.0
NAT-52,0.0,1646.614712575983,348.92936949951695,1041.8297533348666,991.8592203416722,198.57968237776728,49.86413043478261
NAT-53,0.0,891.4738281604109,183.98382315127742,37.256635273972606,349.03921853725996,124.32622061317495,0.0
NAT-535,3768.504764335783,148.8397706909409,1497.123049001815,1232.8364657231,448.1113483505923,2297.802201478418,349.8729582577131
NAT-54,167.47121083992505,3380.3069875417127,1068.459159639415,7121.161994089262,469.9827848087496,156.96376254986328,99.18105784867961
NAT-55,49.9312242090784,1289.2130989360658,749.8576210954935,495.1935549691359,894.0350418913353,247.39005929739562,198.5935569524465
NAT-575,314339.1353777877,14419653.081877805,608953.5447954797,8235904.940598996,359839.46592193976,1143473.019437748,181980.17167423601
NAT-6,861544.516369831,526705.6628248048,586793.1467616392,150265.64798797894,299517.61059533595,2607396.3958437177,1460757.7225381143
NAT-60,4282523.627763273,22171470.730080154,2651564.070855253,2828312.758502411,10726200.546094572,15895392.46586015,5060021.634531639
NAT-61,2452.230588815956,14780.007522712027,2286.891613435338,4916.976743500944,1953.6114674486719,30288.28502272339,3336.0452575881677
NAT-62,0.0,3486.147966917065,147.05402492427984,945.2241637721961,305.2212836763749,647.99073854532,0.0
NAT-64,2572041.474094809,750920.1096843111,2042196.0404393233,4077545.211739447,4462223.332162088,412046.9022478896,373671.85662271676
NAT-66,99.18317931083887,147055.2841784924,591.3573391647848,191.03934431149682,2096.6379697282696,1127.0978973918347,0.0
NAT-67,106655.47384164845,296161.9733878438,187992.9982739472,290163.97292934905,450249.8246234302,53453.14045596946,232655.84103249648
NAT-68,729.4464976515195,820.8577680197889,3919.709308875556,2405.594318849544,12953.791036939878,99.60784313725489,0.0
NAT-686,351.79464675238023,300.25377301298613,350.1585603574585,106.73655913978493,295.6730110825714,448.33333333333326,96.73667393716757
NAT-69,402.3764525767072,70874.55991452395,461.8575322133203,500.9980651907342,672.5295598626434,6839.900052124916,731.1612880900769
NAT-7,323910.1801166024,167072.91592347054,507113.99434189306,382510.23825353885,403103.0493948624,660495.5185400848,263656.30593906436
NAT-70,395.0159517372488,1203.4758437638166,515.6091962619014,249.24959991325966,766.0485725672287,461.49444060733856,149.93150684931493
NAT-71,0.0,41893.592885738784,571.8272126570222,398.41408430348577,1350.9725511630743,543.2989722039008,0.0
NAT-72,99.84984984984982,25380.13471361237,789.564531512557,1039.2200045916904,2255.2587803319902,414.44263209001895,99.77924944812358
NAT-74,49.88764044943817,9672.030199849627,326.4905258561837,2112.7983533351944,463.89847000768316,280.9632820751239,0.0
NAT-75,763975.4965907879,737542.2823937953,3042275.7151486822,1231707.128423293,6450064.547556986,445974.1229359834,249625.51329102938
