bin,ERR594320,ERR594359,ERR594361,ERR594362,ERR594392,ERR598970,ERR598973,ERR598979,ERR599012,ERR599057,ERR599058,ERR599068,ERR599088,ERR599146,ERR599150,ERR599173,ERR599339,ERR599376
EAC-45,11076.832980408539,5347729.45366463,5291425.502420973,684499.5863217523,441808.5162411323,2201.413139873151,3690.6991146674914,1830.1140134668658,6681.0183312694335,2605.2410227759224,5655.627465549698,3742.8643525206576,2294.8281023193754,3505.7115287935003,10937.678920865636,9040.457312342429,14549.94637623994,5998379.910579061
EAC-46,559.7459612339243,2108831.5848482894,2096569.686858021,53694.42661116826,30409.122908278427,1058.076718022782,1410.1631056506737,1952.231034691214,4535.540331514898,3964.717174985364,7274.184361613648,1482.8396582451364,1405.6095179668423,4047.8682033321766,8847.086870771798,4978.13818408873,402.40571185919157,13215.868697438715
EAC-47,268.73686351160865,5935799.025509253,5837414.154077126,60847.80720084627,16572009.740952129,595.8441629228669,377.9931010475029,1062.7012151347174,4345.763776224495,7427.8464262513635,11933.52133332844,360.50134937546306,628.3009809103038,1957.0898283703236,3747.766890931984,1171.5366037673134,502251.2063676556,4760232.029182136
EAC-48,3746.0570012796197,423209.8865016104,421600.3114027819,405075.6032405382,8793084.94254078,1351.998292399337,975.4726574583332,1901.686019715774,11663.423538719575,15690.278700635288,24990.151494292437,1030.7397647235248,992.4012424575697,5857.81866731473,9652.844194061625,2800.985628228762,344153.04717270815,450785.4506735678
EAC-49,3581.2555471697033,673553.5129013458,680438.1921064615,905348.1655218053,5124047.371680965,3547.1679554191,969.330285168686,1837.1963425212962,54712.03664896149,67825.32201499394,99641.11862681538,1167.8421513375874,2653.8170198320818,5503.802253297725,21462.984147641015,1637.7000585090595,912807.5228433703,577849.1639878795
EAC-5,1358.3724059936571,16115.932929894248,16193.788314002684,299475.36611225805,54803313.625366375,197.2864970723561,312.31420353928553,222.8147958914972,927.4764263081694,675.3369623712521,1649.9102561898003,240.67607458145577,324.5393108981356,629.7601877635146,882.9325539916217,617.8090599632367,30531.30428952274,12741.153514639356
EAC-50,24377.92107373872,312582.3617482822,302117.6571903525,770135.0288701617,18368380.567996923,9278.271573275571,5826.071862278271,17155.417617681298,74414.78780556226,101829.80421319816,108422.4488861899,6447.272644571541,9474.326873341639,41235.79710178447,72510.119732863,20110.14562453265,1606222.9089632719,8111719.210169812
EAC-51,22218.614930479587,13058.954601284133,11196.489077787146,20036.482291732944,17998.66329001145,6395.4660149572655,4773.050865315992,9200.418470855193,205867.4904441163,15033.374622011255,14152.954182056928,3662.1970561522035,5145.395369083904,16780.044111395575,31981.600154502077,10007.109502552788,2993.7570962814834,9194.99667024742
EAC-52,204.3089783458144,736344.9669766381,720207.0159907901,5225781.10659202,122026.43505155713,32.62287242528815,65.5551385837391,227.9682596496222,346.48242606751216,377.9622938220697,263.71471501178473,81.22396980144944,92.5036309892158,345.3878645579929,556.4081669112309,232.90503603824544,64.10760233918126,3555.9977468268344
EAC-54,1778.8328284491683,24099.24607671024,22329.69184935549,42080.27328985816,53772.43911282659,757.4509448062886,296.9119986927824,1170.684277402724,5825.407082305294,12755.338187988058,12778.72233237677,195.9137778963019,818.1660734402578,2249.095925967187,3746.1766807198865,1375.1740960121147,25369.55675944428,10023.040774670317
EAC-55,108312.0118176071,2846230.463956947,2808127.027558579,3615918.9695743974,195085.6113650302,1297.435653791824,3416.9329248972813,2839.817050676136,8101.666266784797,6483.355779358888,15002.275451510368,3318.941356883998,2031.0833308059014,8122.344080564032,8390.09923815309,7979.662351847055,160648.89860041894,1767326.0693329894
EAC-56,1444.2093427556506,843978.6328602439,852710.2030482568,6670078.758815487,1725294.9382071593,2636.793805112714,1027.319743752872,2050.169950857733,17552.671274663466,13068.749994281856,24858.845355206948,990.7993389041721,3970.0653034715647,4150.988226611229,7518.670223651933,3722.3774982370937,2030544.703944545,271280.5019022622
EAC-58,697.1656164027987,31310.322348957485,30012.61572155351,14579884.283707289,137959.57972523547,939.3837943695139,744.2682322036325,1592.762572231023,5918.382610053008,7605.628890094894,14370.47358629373,545.7202228078969,547.3922498527036,3362.580008629247,5142.085075520586,1967.8712101222623,9461.567084700611,5000439.140982678
EAC-59,489.14665710493256,374242.61266829044,362188.7036325466,131736.9350642043,912013.1392551062,247.2193774689561,240.06371810570454,182.4795097641664,1295.3514439750327,870.2373761566013,774.0074378528124,263.789886098156,239.231002814282,468.207973137851,1590.3463059670094,636.6378416984619,8086.92354533286,26022.4628828418
EAC-6,2607.5181393431544,33024.64697485513,31316.057522391406,89724.74121812619,63372.0030238143,1058.5059697721485,666.2229555519567,1433.6485015979806,9033.038018607478,15336.77596874822,17879.42468092501,1042.459222970311,1294.5426213128023,3817.765767900028,8834.74793550902,3438.5374499393715,47832.744190186735,154183.59866079147
EAC-60,198108.37057972903,142381.4900549688,146875.1049664261,17753596.504885655,195175.34000385675,4142.466763619643,48785.86512352722,3437.022145905507,12549.22574250544,12091.321457006654,11293.42898260522,47184.64788053531,5541.505681725653,5243.446170713851,10935.366439006753,100276.5933525049,151528.94312459315,182000.49921361142
EAC-62,11821.543533205499,318883.66154689126,315862.99263700534,171968247.4683523,812632.9316867763,661.6630147456993,1362.8403050003856,444.5557297954406,1186.1722397924402,690.1610411651852,2151.0014366627474,1389.9821619463908,469.96564338566895,1231.762078505773,2441.8080545636344,3814.0503456463816,3836.3774788434803,2971.5384831676897
