bin,ERR598989,ERR598997,ERR599030,ERR599052,ERR599118,ERR599142,ERR598942,ERR598952,ERR598987,ERR598995,ERR599065,ERR599070,ERR599087,ERR599099,ERR599108,ERR599147,ERR598971,ERR598980,ERR599004,ERR599015,ERR599051,ERR599060,ERR599067,ERR599076,ERR599115,ERR599127,ERR599152,ERR599175,SRR3961906,SRR3961935,SRR3961936,SRR3962293,SRR3962508,SRR3962771,SRR3965585,SRR3965586,SRR3967905,SRR3968062,SRR3968063,SRR3968770,SRR3968777
NP-15,0.017608740078551257,0.012486282102231891,0.015235803482275193,0.0008693797388042774,0.005031339520374651,0.006085841029253346,0.017767365909951444,0.012083654258097267,0.01767061677036978,0.014738836299336566,0.011994922028057992,0.01704421299233897,0.010557555458265044,0.01678722446336429,0.00960163597176158,0.017528882062055738,0.005470121331873574,0.002758635880015703,0.008300729531217226,0.017439927311534917,0.008049646892437702,0.007786064299602053,0.005224995319365401,0.0175194171359116,0.01467340859414095,0.017502625314941945,0.01733622663233591,0.007977995319504667,0.014324047811681602,0.01208390137220081,0.013984671231902206,0.0152839359807654,0.010883467351170482,0.017012576246766744,0.013177492490395707,0.0095162214765637,0.00783929919920814,0.014549249736982031,0.012793126396895234,0.011094652812002014,0.009915607178393725
NP-151,0.006875795705642019,0.0026471919106108212,0.006261642060334888,0.0074324379852964894,0.007766958489360294,0.007718524378168058,0.007265094621623811,0.017835738021339642,0.006611131088478311,0.006298503145411184,0.009892244050840887,0.006433245797945453,0.006781368743520156,0.005741272566532158,0.009336212271301918,0.006681730761933089,0.006647463245178773,0.006661355084386325,0.006937319363640717,0.00664879069569426,0.008024041060467405,0.006451107954173381,0.006420881837448138,0.006678047117464618,0.006606572226785117,0.006818414725087454,0.0070621062185441,0.007322082107026463,0.01235231563155551,0.00042923665738429646,0.003287280123674437,0.004735162383556211,0.007303757724476397,0.0,0.007449483429798086,0.007212463202636819,0.003975775743064148,0.0072040020235593525,0.006583742013884091,0.00017672114245191888,0.014039882474186683
NP-156,0.0018753701375625988,0.004860329566736517,0.004535523208002128,0.004483593749260148,0.004006680234305536,0.0038124889061669073,0.003191103456900073,0.0014189799441521162,0.001567856980889147,0.0037209787949971447,0.004810491965118843,0.009408415950592752,0.003823723524664775,0.004947969445814817,0.0038581784427771286,0.0,0.004350995416598126,0.004257020475767087,0.003217349687149464,0.0022625122362678117,0.003682739237326191,0.0035900177987465897,0.005029538937608985,0.003258569307956548,0.0046068223864489085,0.002073135673432254,0.00240510737302162,0.0038682772120122344,0.0061155853872212635,0.004082888031124533,0.004261290115749368,0.004902478376658596,0.005366710388859753,0.004511368370470492,0.0031138610735231306,0.0017262304238074868,0.004791468416553146,0.003160938276691254,0.0050276036134677985,0.0031717464354857044,0.006329279230305163
NP-16,0.007647587407000141,0.0,0.0,0.003196161181649083,0.0,0.0020216657405068127,0.003195027763818746,0.0,0.0,0.003012783363548911,0.0,0.004006527081575529,0.003560817038899941,0.0,0.0,0.0,0.004964440839607807,0.002860772426850438,0.004385958101184376,0.0020145260992887612,0.0028741568079032748,0.003175608683874373,0.0016651739484822435,0.005525276491734594,0.003258666088979698,0.006091886923177578,0.0032396683317526304,0.002512686332238335,0.0,0.0,0.0,0.005534820428778828,0.0,0.0,0.0,0.0,0.0,0.0015875356221261864,0.0,0.0,0.0
NP-17,0.0,0.0,0.0008956583219879271,0.004661011573065476,0.0,0.0,0.004099657146372542,0.0,0.0,0.0016384963105187912,0.0,0.01057432104913264,0.0,0.005971191556460687,0.0,0.007647027199570553,0.0,0.009473689236275328,0.0,0.0,0.0,0.0,0.0,0.0,0.0029802054604415305,0.0,0.0,0.0,0.04227834614252376,0.0,0.0,0.0,0.0,0.0,0.009504584888026567,0.0,0.0,0.0,0.0,0.0,0.0
NP-2,0.012998237809178569,0.0,0.024296707079734036,0.036299797146717015,0.00101880828401558,0.03293025587687496,0.027999222316418007,0.0,0.030964244760880253,0.030857814214357314,0.0,0.0364482851211094,0.03188964634593464,0.03394606057406548,0.0,0.03290102954929284,0.0,0.03098827872689568,0.03171605949708861,0.024694883870726624,0.03386833414396632,0.031903061301207826,0.0,0.02613716476069499,0.03404121660957763,0.02597361454997232,0.030074823695887255,0.03137102218288891,0.03173644407719808,0.024810066564647425,0.015623454725605779,0.033504964140167015,0.04999424729833783,0.01682411276333098,0.04704328279434051,0.03229528681333753,0.0,0.0007986924055712865,0.0,0.0,0.0
NP-22,0.02954637435434076,0.01747796036589026,0.048374581722359464,0.021464691736371107,0.028983518235622868,0.02498422157273845,0.018955104336733294,0.021327353244407127,0.012064252446056146,0.006979187676985085,0.023412048678525362,0.011594723512182194,0.009416453346068016,0.011385691723047068,0.020551013198543293,0.012325311264974815,0.01429464184000762,0.013297407047400043,0.01276478540314015,0.012568799226811136,0.011820004980358184,0.012318337173005815,0.014090663962530833,0.011850239363411813,0.013478829994016941,0.01365598878414731,0.011112371826560602,0.011716584577168891,0.013282903760966655,0.014468980198191083,0.008717761716171946,0.01192301058360035,0.011008754575874751,0.014374903820787925,0.010061575136245515,0.012277903190139172,0.007728093906024499,0.01235491339123253,0.012685509724413596,0.009919625342192486,0.014141223323550752
NP-23,0.004599843112886877,0.0,0.012725404102861545,0.0002378426322652674,0.002617553458240579,0.0,0.013494939625359853,0.0,0.013942887994885597,0.02250599331931485,0.007391761701460094,0.014761971587094755,0.00350808792336068,0.014986683511366635,0.0009660130414506861,0.018377870089754618,0.07469632717432026,0.09408680953513388,0.014946175313628452,0.014088780609950674,0.017188098242871035,0.021685584864457916,0.05783424962799656,0.01370724391313604,0.03122285000205517,0.014250309188168024,0.01369670910605009,0.02333660487397066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NP-25,0.0,0.0,0.0,0.0025029780241879883,0.0,0.0022587444660685497,0.0026247175396310264,0.0,0.003717654686916166,0.0018298221032427126,0.0,0.005621555156793541,0.001330491479032758,0.0011106697626960954,0.0,0.0035003256382246245,0.004247642893908662,0.0023164835556198356,0.0030860629584380564,0.0021941317565242644,0.0027120946917721287,0.0016999926787475408,0.0,0.0014087857357080208,0.002053074557027907,0.0021174994905669244,0.0017883238034961937,0.0017112093824266294,0.002206872653795762,0.0026854536873815904,0.0014140903327268313,0.0015743828992471605,0.000917260824547825,0.0014993747076692443,0.0,0.002577569505319559,0.0,0.0,0.0,0.0,0.0
NP-26,0.005043364636229632,0.0,0.00502005604795899,0.008507842790603059,0.002374346310011863,0.0051837025400138315,0.005901830098672526,0.0011570695989773015,0.014251717671008947,0.013006116189685687,0.0027655272680711636,0.01506820817460008,0.013053526981384605,0.016987264916852395,0.0036688177643298676,0.014599621728944478,0.0033901269674250136,0.012585366106587193,0.010695682889010152,0.014823722130733564,0.015332939880939717,0.008686159334837382,0.0032336418910535133,0.016262868999438705,0.011485872220739783,0.016328724096921435,0.015263776418412629,0.017357592602566536,0.015015184634422555,0.014561276319987273,0.012398149107861143,0.013800700256289853,0.014954770434666477,0.014897637003053195,0.014756574181026891,0.014000411150882748,0.0,0.0024511091624418433,0.0021360699451866286,0.0,0.004459572099326684
