bin_name,biofilm_count
SP-351,0
SP-354,2
SP-358,6
SP-360,3
SP-362,1
SP-37,15
SP-38,1
SP-39,0
SP-3966,3
SP-3971,1
SP-3982,2
SP-3983,6
SP-3984,0
SP-3992,0
SP-4,2
SP-4016,0
SP-4023,3
SP-4027,2
SP-4038,2
SP-4044,0
SP-4045,1
SP-4060,0
SP-4145,0
SP-4154,0
SP-4189,0
SP-4220,0
SP-4225,4
SP-4275,1
SP-4288,0
SP-43,4
SP-4300,0
SP-4355,1
SP-4356,0
SP-4360,0
SP-4365,1
SP-4366,0
SP-4369,6
SP-4379,0
SP-4380,1
SP-4387,0
SP-4388,4
SP-45,7
SP-47,0
SP-486,0
SP-49,0
SP-5,6
SP-51,1
SP-52,2
SP-56,3
SP-57,5
SP-58,6
SP-59,4
SP-6,1
SP-60,8
SP-61,4
SP-62,2
SP-63,11
SP-64,4
SP-69,1
SP-70,3
SP-71,1
SP-73,5
SP-74,13
SP-75,7
SP-76,9
SP-78,0
SP-8,5
SP-81,4
SP-82,0
SP-84,3
SP-85,0
SP-86,6
SP-88,0
SP-89,3
SP-93,11
SP-94,0
SP-96,0
SP-97,18
SP-98,1
