bin,ERR315856,ERR315859,ERR315860,ERR318618,ERR318619,ERR318620,ERR318621,ERR594315,ERR594329,ERR594352,ERR594375,ERR594405,ERR594408,ERR599073,ERR599092,ERR599094,ERR599153
MED-590,749187.8741300575,2417211.2527410407,2390890.535034178,3196717.0804290967,297138.34091647126,3166778.9168013604,297008.48654490896,509321.6745421962,3106992.358448607,400887.156450165,694790.3828589675,551357.5759598443,429390.34368563304,778154.3128624752,3797143.173106311,6384500.22995419,1141049.7583580166
MED-591,59623.60532213167,744282.7127068308,756477.4027149279,82357.64032265249,6282.905470084198,90558.84361931038,7181.168900469023,452488.16100068134,2791122.7808443853,30945.76875876378,331757.66802700324,8619.100686810041,261384.22485004523,271548.24793148617,1370449.3356860222,16017517.845659634,2825819.45751512
MED-592,683345.9947595126,7699406.109375577,7569401.14743971,656305.6228201765,69550.93453142865,625977.262283716,70872.94857205266,3556.475690971294,21802.228545235233,31295.383379446565,67355.05693352374,7467002.656345536,1613362.4997281902,12023.44615345653,56767.49804414796,2764417.2126886626,476447.9827257673
MED-593,125691.37276952087,1000776.2985794245,965680.9051828689,168376.2086114711,16777.292762244106,164374.05134576047,15590.583671749244,1076.824631872233,6294.819003859354,1324.4809422821672,5467.343356989057,17092.601682472185,134268.19607427157,11314.519973820972,50493.99241250169,21342.923660713757,3447.3969303443682
MED-594,3698955.5408128793,1883820.7371042252,1873405.9729428734,62446.490568624264,5179.493968223067,58459.817146979825,5349.009684186876,11046134.38030427,66015160.41704467,2818.4503103107045,24202.500123738955,893.3629163873029,77997.18670991405,4274842.238281186,20548720.80074277,16794302.12375437,2990901.0375198806
MED-595,440334.0833813327,356458.7623903561,358382.91601498367,172454.84902173383,19420.021932342814,165412.93752552016,19914.513453133397,4945.155128927291,30695.4740514411,863.5175560347008,2678.577848662681,5271.8773962434625,17382.484042908018,22024.44385686851,104379.29552340906,94692.82354717099,15894.281312040112
MED-596,3669011.141731625,1106463.240364782,1068692.90390999,13182512.142854786,1081182.8300096465,13306266.229455128,1101527.7685778716,418098.7091599088,2545198.62180393,53.04104084321476,653.9260256522253,365.18931971550535,456.60627761034976,75309.42960334064,380896.8990863851,3144780.7630112586,564390.3281112068
MED-597,4527.503522575164,28887.46401036856,29987.962282096523,638.1202691589369,19.906136964385077,216.94237140769138,64.42537313432834,284.75045898685136,1516.4840509666665,500.8059190965798,205.68048947462543,51.571098943705216,551.3362060396394,90237.64538600975,401134.85284713225,7794.8387315930295,1144.4537817711418
MED-598,24746.252466665603,10226.99575934967,9791.200402039362,4587699.966816535,268706.4482183325,4756153.214858897,263221.14406319446,14465.564801232595,93114.3364057782,50.98648648648648,17.645226537216757,426.9445935307453,132.04837382587152,460689.95457763714,2315026.3923679627,407559.9789102548,68810.87955433658
MED-599,46882.9154581029,61625.55596698756,60763.91647784917,5086166.623023353,520952.9360804873,5097503.200098781,527763.0078044971,51987.72004728225,326075.277414057,72413.17902148537,324019.1579032664,1591952.6420564358,354601.8083925697,99184.49334949156,478345.59120504174,2541447.8471409553,448521.03386190505
MED-601,4258.655485988703,42308.14069061291,45439.54030985,1700.8482809167056,285.3591675599445,1245.9745335266111,359.147765535204,810.7617148209367,5027.27091083435,243.23449911472431,8715.910982066847,147.64323352735494,85887.1833553014,1281.6786343403817,4113.79645557445,63996.50991521291,12043.188261399042
MED-602,485345.5432567097,227630.46153215744,223624.02480510934,7195651.242447211,472426.7922033708,7398858.7267910065,478852.4769331319,81680.7726884116,538336.8056609241,929884.363849467,1532296.5272012397,17486701.75285897,1689894.392052254,231920.50338007548,1210887.4671081433,1121758.2816433946,184002.89783239545
MED-603,55837.536537706736,44321.03673836117,41963.828062182554,67625.60447876086,7056.326533668352,71285.58665760423,6092.43128687898,10832.95736587923,65654.39853206808,260.8368391779701,426.12821930961996,159.0244466368746,1840.5258039152063,15327.177228971153,75615.23110535403,16330.850568748383,2817.6620439576977
MED-604,183662.320317463,34831.796901009504,32446.578960676376,98260.17669583879,7820.574469839349,95020.35292509367,7322.463075858032,12736.47424132938,92968.73980226056,176.25734190505702,2816.1744421863386,414.363042797484,3597.33527651956,25085.878274965475,121477.70835534691,59120.04517738707,8564.759807895398
