bin,ERR598943,ERR598954,ERR598978,ERR598992,ERR599039,ERR599093,ERR599120
SP-2979,0.0,334.92635117183806,116.1832148739818,0.0,24.913793103448267,14.292728989612833,12.649219467401224
SP-2982,2450.019887368738,10884.785851510998,7276.877378425735,26803.191810360564,24964.191419809948,4442.7663915363055,2553.20883256101
SP-2983,145810.07331341482,12576298.064957947,555549.6856620512,976814.0851341734,995830.8200566171,1304202.7780836103,693332.8836298053
SP-2985,488.4710318084749,3779.698253463973,2935.1998773938976,2832.157299869951,2621.8664234635335,2006.9926524354926,1152.8360830083905
SP-2989,420.33333682381885,3515.4814270925854,2004.960311050752,2613.7428532720605,2819.3985438453838,1696.9795634960117,991.525079843066
SP-299,7142.359131388005,261225.61856673946,28703.586296154193,195194.82511995913,662262.7957530997,21439.614774736958,10444.575093710824
SP-2999,304.6027727743284,11633.40037063352,1937.7798077491339,17741.626120326713,2748.3178950246834,4659.580939426256,2329.883577689188
SP-3,527.2451676961192,2232.038946096119,1423.357084065559,938.4112256087484,1727.9896310610602,1964.177110085741,744.777121805636
SP-30,1641498.6190957676,65124.446459654784,5789434.25399567,38046.92461993916,72093.60978444557,11264.378724104861,5752.291140282588
SP-3003,121.80809067091636,596.3430320818078,183.7525511758446,684.148264184082,324.5403825372939,409.62508603723217,264.522231761697
SP-3004,114827.19493849826,3799941.1587680858,437418.91982270137,305332.05177745136,518491.45646723703,2300494.682489765,1179581.3012134738
SP-3009,25009.441717497568,36328.88395583361,90697.70500361778,1253988.9429606756,24734.541052404,22671.95927298799,12515.876774835684
SP-301,2626.9612828158733,20435.97614090027,9879.6066385987,19716.159534608843,14975.443874098612,7146.846677483637,4128.313628689292
SP-3013,950.4518773220312,33451.7784005537,3740.822380002737,7468.648578985363,4153.167509239897,985.1043175760165,545.601487824036
SP-3014,106620.4021223659,20797.252326103106,401515.2398292692,69709.91672263705,6603012.955699393,2202.0483556590743,725.6345113233394
SP-3017,2788194.8719463465,403143.46513828944,9711446.482330348,2975457.763984864,5942124.179375233,10378.056565644241,6033.079382060764
SP-3018,953.1293704212479,14840.088767290594,3180.222949024896,15151.386515200167,43885.885270135834,1205.7053543703366,624.2015209125475
SP-302,3661.701715518603,21382.26380101832,11483.170424362757,12101.451501974445,20845.33223358919,6098.21433181289,3322.7166969642612
SP-3021,1481.512292795919,228349.10490210148,5198.603388542146,35250.54955107036,18306.879079431994,28478.71522894173,18283.71571080925
SP-3023,171346.8132971277,273233.2356502054,603896.7020425003,6226281.508711828,111396.64296293132,126192.54652427965,69406.84128272753
SP-3024,3206.8942521187846,405970.08794043283,9276.87167410916,40945.24543162514,19187.890372310623,1186.0447448299497,729.2078917251331
SP-3025,640.1409253349688,104848.73223267862,3494.6851909326992,43371.59582229171,12056.237903581155,609.8869175310374,222.89697741146526
SP-3028,219702.06387263347,165164.35498295628,827807.2408196289,128363.89557335852,433956.62909354165,107913.26222855122,53927.14477329158
SP-3029,12787.337683776297,254889.05579806768,48730.773079078856,107176.96442562592,266584.05591789476,45662.36330647683,24174.386080107903
SP-303,7990.85291529195,41749.4454270424,25589.549922361683,208494.6965295297,95132.49983783704,7466.715393309725,3789.049959275405
SP-3030,16899.07799937827,776433.830558903,68983.41349386082,283289.8477149663,145389.20996097574,5970.063744683012,2857.3595669404617
SP-3031,2148.5770559638036,165967.51724807825,7123.636152033715,938257.5897759428,28748.955862349656,11150.677830473527,6134.045032329431
SP-3035,0.0,19874.364300415276,81.8602794534266,121829.62756407034,3589.390847162231,62.54289305862152,38.54321225071223
SP-3036,566680.480168817,286759.05851605156,2101049.910434196,520585.78763812664,6988863.50172794,32053.259743030827,16743.98990316654
SP-3037,12231.151284063611,281707.517253969,34467.09780497538,227609.63498391735,151328.31051741855,86618.37002535537,54960.79668906359
SP-304,948.8001695219882,3560.629928411961,3296.3034085960658,3015.6942002442,3547.7232459847846,912.9060670185072,637.3631870300948
SP-3040,163376.47857802588,391352.71078188904,631412.7566818931,1497648.9225883842,11937615.448628264,63894.77873985615,28140.71629169238
SP-3041,1934.6663278058843,22055.957114469147,9664.55264823974,24192.942123850582,373101.08246286516,3377.0002507408863,1434.246867671809
SP-3044,295.8998297083374,346315.22184213356,1534.7160394194489,470733.91494025773,105917.77013242619,441.7435993603485,157.6508579918779
SP-3046,16837.152293202176,281224.63870070706,65315.2390314493,66761.19518158934,310647.37998011004,30993.212027910493,15133.470337409559
SP-3048,42.44380796101537,9198.021295199176,682.826509551388,6123.310554368204,52562.66642371764,524.1495302260946,337.43423206638647
SP-305,392710.5823619436,121969.60692828169,1432907.7953322884,4007720.871745085,3009813.79485852,303747.88272090163,159039.7331572733
SP-3050,1601.6486400255242,5629.277102764091,5446.106613775873,6321.977968106845,7675.555782642176,2808.8574049153085,1666.6098898512153
SP-3054,38006.88359701815,98756.24444317783,135930.36313191685,4299783.400048735,456508.2971112828,5113.235282470907,3252.4768179793923
SP-3055,9002.837545124097,22167.119482468523,31371.68825284583,3306387.466980948,741879.6229111087,5308.059613782102,1945.9146736918165
SP-3058,52544.27906018215,754325.1405057709,215544.1281656951,1963373.00627029,256849.29099673644,146640.37772127788,79707.84879171119
SP-3059,15435.429717674071,79849.66831009478,51632.297433663785,12253173.640343184,134251.43151428134,6292.522109357257,3836.5889724996314
SP-306,59817.86475210381,181212.06947634573,214496.81142726104,819001.4238207447,302352.5758426589,19220.70282018332,7931.580231215353
SP-3060,2675298.029031699,102430.67048216716,9854236.584204447,3402907.3761385027,194051.5357732969,8105.22212224916,5010.898284362501
