bin,SRR3961906,SRR3961935,SRR3961936,SRR3962293,SRR3962508,SRR3962771,SRR3965585,SRR3965586,SRR3967905,SRR3968062,SRR3968063,SRR3968770,SRR3968777
NP-117,19026.508999401285,8685.474853640466,4461.706068853366,25774.50093149036,2814.309981114062,1683.4443820066099,18564.599114147943,11574.598877483424,23280.56362076372,43653.62575386682,37783.51060903216,3399.082641869594,10130.856839411885
NP-119,49.93464052287581,0.0,0.0,0.0,49.93464052287581,99.93540051679574,49.909255898366595,0.0,0.0,0.0,0.0,197.74117647058821,0.0
NP-12,20496.87714348934,55094.91466092621,87244.22648369399,130126.14491233561,13706.705417248231,79691.66736227427,24685.590612403248,22181.55338421146,17160.40500407734,67363.08553955895,63563.392445738136,22404.6337472757,36710.26918844514
NP-120,97.86388888888888,289.6467567713656,51.96981580510992,49.95908346972176,159.3748366013072,218.8785799168152,39.86975638740344,49.93055555555553,119.00796197266786,59.51515151515151,168.6260868488809,314.783541295306,59.509447415329774
NP-122,1355650.0583745448,1572352.544644417,528182.1626934895,1470545.360415622,810473.6071106852,528883.8272080952,555884.5400425006,100131.76163131796,1081721.9239657721,1901656.5986220678,1254207.6988309438,1508396.4329468033,2353290.300391299
NP-124,16067.033328362704,16920.177688634587,40829.5022564881,42884.98625811716,23588.157297635036,74489.4524572305,25597.475537125745,6946.817344135368,12150.558989786277,4823.484489895322,3280.6818412756566,237541.72414666068,62685.39430355268
NP-125,17481.52299428315,70528.63728752958,482895.4060691289,433834.12936144345,22131.13653226674,421816.0056395963,53208.57924129623,85063.66877009059,26895.267043687512,139609.08760165068,202750.96621568332,36982.185204281406,42410.60882110359
NP-127,109216.00029280288,307014.93725377036,252471.72736683724,3638493.650551083,17582.420127928974,166394.3420558098,12537.41664401165,1528906.7357728197,0.0,249.63304113591738,199.79919678714856,149.81978365930388,149.79647218453184
NP-1277,23812.845942199965,40583.165022687455,3955.913101925945,40631.33343499551,4458.125235727664,4690.686818917584,4609.719352329062,12034.45537228615,11313.653436845736,97782.2698699642,60273.616753127426,20402.364489427455,129040.54914887856
NP-13,2086713.6696060086,13525187.721003998,22561805.61745378,32524327.504110012,1302676.7721050999,21857052.085174005,532044.0922979843,402605.128706929,43225.67351355274,151570.26218018896,307814.3683208996,120149.93298868374,48024.78752307301
NP-132,8634.788497513631,10919.18237055754,598.7754259097499,10055.833352890037,1945.2048406711276,816.1578042948136,938.2278627329165,7385.798772539356,3141.8336353012783,19232.243288240017,11349.970320922894,1570.1473428090057,26135.362978880315
NP-133,13442.85644652164,18318.858795373275,4254.378272539819,17588.93128075994,8483.994210814682,7086.840932718732,11630.041237206162,13413.149118460482,4251.188798690287,9302.373374017698,6382.0016738445365,14967.19696403912,15167.664265435289
NP-135,110898.05081653752,173104.92995182876,4208.006256231385,112851.9682280142,9957.14924856612,7131.320326247314,9917.297218280108,37745.118466289954,11498.290072495776,141424.72273269048,102738.1443496116,20511.831190476092,245993.1881437374
NP-138,9501.374534502596,11040.44432792591,4054.7958828736464,12465.944960445393,3749.322782398733,2132.3835574110667,5308.309400405631,4065.2597697670208,4832.388217191456,9895.978036968889,6122.644940578378,6511.784712269528,13214.673405097978
NP-1391,199.53037751294062,249.0807072396015,49.96328928046977,548.0918258989955,249.53566747834446,49.8958333333333,149.24972394710463,339.8123127790117,199.4494118267658,149.26603883873477,348.9776666391729,56.58036542617303,438.81891366530704
NP-1395,426.25043702671314,199.25709664596954,99.2248062015504,435.8693461578441,222.38564536238948,97.2367149758454,98.89405684754522,230.18448528231818,291.8344370639834,87.54099331325602,126.91999240374335,998.9018157071175,299.1090726044855
NP-140,123599.08012539505,140696.86650426147,65857.9477200236,252539.96435268255,120377.17732104089,113590.70890355574,332667.74612615193,569946.2647050528,13787.56293503403,29831.53895929055,20667.95419295282,4874.522327335667,4266.6257083302635
NP-142,53544.583920852914,47011.25082004232,3932.8775589338566,95955.40254407177,3115.864881609337,1911.164198955898,19266.719703629282,959294.9222098943,16004.054539338682,169557.9526973734,80795.4143508673,5319.111652097675,35207.433683599906
NP-1444,203.721632737371,249.49041898409138,149.70414201183434,299.40828402366867,0.0,0.0,339.4273694145945,266.93319670621486,200.39470373173108,199.48730392797364,448.86803354331727,449.1230546808794,429.4108467807957
NP-1463,5484.213592341829,7293.714036118045,871.4152560428533,7595.317513555779,2457.637598928259,1268.6387071397194,525.375037624862,1459.2716205226184,2406.1978892915413,6289.3423651865205,5793.0936506931275,3403.191379065304,8884.391794352287
NP-1472,299.35859534241735,700.39583612363,351.73209080471315,549.3128603802651,99.8217468805704,0.0,49.90791896869243,0.0,92.70096463022509,0.0,49.99999999999999,0.0,149.89200863930884
NP-15,116705.3895715721,140300.61291196378,922891.0762237828,1119291.4800709113,221927.55234759758,421278.7240991321,3896945.9088766137,2510777.36237938,1050219.0283368165,7585738.690201092,10356020.38704807,2185712.3785666227,1603232.5229882046
NP-150,110802.63770555017,108778.4560198024,16001.807466723752,156179.20319378914,19337.41922235207,9354.233609095936,50925.62931050126,157734.23214062554,20637.406534424037,147995.614574675,127918.82270943053,16284.06645705277,145441.52501626904
NP-151,54039.72648528767,44953.90899430873,30331.33733298357,30413.34388090584,103271.54781178875,13367.755448224154,2971647.684697706,2478808.9420066215,78321.11453195247,584246.3766625241,421475.50099922484,28257.75178021397,29360.78007449394
NP-1521,2333.230452345229,558.4966485609395,0.0,1677.8610352462329,99.86149584487531,0.0,0.0,323.13993432685015,0.0,517.0995552734097,373.50837864103164,0.0,1058.8905934036343
NP-153,1048.1708495909518,1460.6876195209136,94.86104968303111,166.29834389896308,1132.67939747245,0.0,99.84689057930717,225.26968741105293,194.521683167194,214.76141333726468,105.75630252100842,105.88235294117648,151.3653005061674
NP-156,190825.28994192518,577270.1369266089,865557.3611889057,1224411.7287361776,88275.89479464592,665527.7380724157,146030.7231250633,200423.0950295483,328709.3713971798,989323.892788503,897879.9511851742,201546.15326908213,425141.00749742007
NP-16,5523.65257515769,3046.1697272713964,4701.453312380831,9017.261889700185,1532.0880074116874,4387.618654326923,4747.7694850653625,8815.64787192633,3595.745156031722,54437.25732143407,2320.959446492023,2337.835090971924,1080.7819665594113
NP-17,2365.2770064110787,884.618256875431,709.9799542954888,1947.4369643460427,1623.385629958055,331.889101926566,10521.23803176037,6374.180144889003,961.3880160522858,2623.447284943994,1738.33323527059,1309.535695213471,1486.4852234057735
NP-18,601.83025196737,99.73958333333334,144.29022380987095,346.1086357647622,0.0,52.99182561307901,97.66760205573209,149.38363340453665,149.0,199.1231884057971,149.45652173913044,49.66666666666667,0.0
NP-2,49912.75833692503,36218.517405618935,85597.03318994262,93426.24905958169,68569.6888570883,20775.989977835186,701898.2443372504,298870.08384338487,57766.30361841296,253177.03247709337,433589.6158522198,129031.17604219183,63986.08045912395
NP-20,5945.904320174869,2873.0556121525115,149.22898378952306,1843.0790626625806,549.6507436531474,461.089482418372,413.1016901167641,6981.309388248793,1401.2762609894817,7154.840667043193,7016.416887035224,346.90589390351874,2823.055660878237
NP-21,7104.348352714712,6459.26538968615,10261.971103875472,18248.18321155587,5778.871925680657,6149.019383563367,30433.635199365017,29658.038916225913,15348.798967566929,29021.300498320958,29853.403273783042,21258.40576610461,19062.636100544907
NP-22,502408.1480539138,333564.03077830956,98264.8702967189,999733.6534042896,77144.796222379,35116.95760237916,326262.67379224766,3674992.8518439117,252877.37658328304,1522210.371562922,986755.6069940152,74020.71617529991,488595.4177934572
NP-23,3826.546273740705,6398.910608699087,13733.390241214156,34124.34002376874,1856.0099775619074,6880.170247774207,1295.8403043413705,0.0,271.31907190672496,895.0037789790513,224.9075015659339,114.35072137813793,99.89328061109333
NP-24,89674.8426675442,62233.728008081685,3606.0415877001756,8835.093103778932,43225.92179087723,3830.5156798418843,3821.5794223400226,2488.0082243516053,4953.9198994467615,8627.380328210014,4705.8147769451125,10719.750728103756,7788.165888834049
NP-25,90471.3081915695,233078.7341170624,141315.42469029475,253744.77334063096,148972.79329884882,249006.62551774053,54302.66572131152,38763.799677820505,916.2652187402477,246.96227254189466,249.61558880580444,497.8320983026879,496.91428559661045
NP-26,12470956.04300223,7069379.535669406,3493600.9801636618,12514763.405404788,3543316.9476006944,5441716.873527143,3430550.963639121,8805538.836640496,24615.06206977059,442049.0699609564,460452.04813875357,6368.238043477103,11192.606733328903
NP-27,6694.549429400307,18396.8168115924,36061.962771476225,97166.62183211962,4320.653224233713,34932.89742048929,23092.530153042513,50352.07675697764,10083.095340187805,74832.22753089695,87955.91186201264,52619.073034315465,40180.166125206786
NP-28,3208.460725878178,12381.701891455656,31564.258879280667,8296.661263527134,27418.173561320466,66648.3232354106,192189.2713435365,15992.78598284718,539480.6282646953,6342.689358868113,6674.385213389076,10840.104807991998,4744.464167937921
NP-29,47533.36215221971,86496.70353286718,827637.5502620256,118967.03321337678,236034.48920301057,1809708.0786364935,345504.7686177676,88696.79849594951,1533.6247106683857,10595.707111516589,3768.352707931747,1955.7381849314436,1097.2366074366273
NP-30,6553.454540914468,12393.023135302637,46058.47510392289,39663.84749570245,22218.28525075937,63763.45788027907,59075.30601607871,34675.23027782923,11727.606621458124,63760.7844748671,98656.02444338883,20668.679880963235,14446.920259817802
NP-32,9183.855866107257,8934.08194509539,20685.17753033234,36382.3477545046,7876.938867248792,21616.03903262691,26518.941278035203,8116.9120091337,13369.444206018006,72268.84689551195,162369.26794229672,16023.603059658853,8223.244019270156
NP-33,1529217.7125669734,2316538.8563539186,3093705.6416032286,3035004.547002646,2411066.7913503735,5496959.663018861,309047.30040506565,478200.7481593577,2193.593039614766,10729.086163591797,5219.703620089551,2370.965696943527,4949.864361891962
NP-34,805684.6975852135,737373.8192237709,346653.8478806149,1127288.728456617,474346.9127664894,338289.3039146183,3930709.5395744564,2508907.6782841315,546678.5266547968,1837591.9739137199,882772.6456454274,147944.04495422964,134467.96238276953
NP-36,19821.607078996483,15483.116614928185,18073.844046914706,3361.709593299837,28999.165988895973,9419.533885364337,13089.245621846194,4872.509449888823,10265.751370045917,1969.9182417077072,2036.8739816501457,13640.5635796591,4654.398989279508
NP-37,2328.930038425681,1671.499670430679,1577.2992669097575,1438.7269100396818,2272.6050650193347,891.3243591188344,5114.51453293497,1157.6053622250315,2904.3182583201296,780.0472005242567,873.1472849597932,1147.2909295286809,632.7216298100261
NP-38,10429.99321827957,6272.054506089543,3910.1796463699984,24943.83601876622,3915.560170843979,2040.1338793194766,3773.2013454190346,3172.576684217621,1200.4626531506838,2313.5742874046787,3094.2104437771636,5503.632886121326,5312.641589288009
NP-39,42169.18948055987,18013.90041823989,26450.121945522736,102203.58480351645,8893.797119681958,15384.155275511126,28579.846593417293,26505.47109001674,19957.892621834384,355054.8196541841,335589.9260425973,27175.770133686026,49398.78459494048
NP-4,19534.059588926295,21928.13604680962,48996.499616195324,50973.68390218924,25280.73595793728,72985.98949685137,34419.16410699425,32656.29187798123,7715.85105278259,7274.229991864345,3719.1306126830273,48702.13843546997,16564.760885628148
NP-40,13999.545866907492,30633.7685748431,65217.08162622008,27211.439911608843,46195.18534675622,72450.51419982994,24023.622508178712,5402.059082793822,449.1528602969436,1243.6470389791318,648.1159017955482,2466.064275864924,718.1589136574975
NP-41,62966.066806864044,75729.03532436815,100873.89675224097,68228.0406954955,41148.84943964279,40610.859023338766,52396.71274085143,17458.483564048816,82150.94367011047,82488.50649464717,60002.41895191629,33214.03810279852,98076.64872902891
NP-42,95056.69711132883,414709.79936593515,515023.17125125614,1296353.1613719754,83722.76213561573,225780.33530656077,25215665.28398077,25034329.27112827,184760.04358227726,1289803.2560850894,1870790.1809299283,1644465.2100648677,1305167.6727875038
NP-43,472008.1732605751,214616.32776669078,91087.15276210434,504724.24601097114,242586.086488638,115354.47769319106,372582.19206735736,343888.55415255856,101095.03494927668,185267.8232499211,69076.26872658326,23268.44289101398,14343.058709161975
