bin,SRR3962680,SRR3962772,SRR3962773,SRR3962777,SRR3963449,SRR3963456
SP-150,0.0,0.0,193.82548408991093,0.0,0.0,0.0
SP-151,0.0,0.0,49.96355685131189,0.0,0.0,0.0
SP-154,44.81126993646983,0.0,539.7021118937778,0.0,44.80965946954551,0.0
SP-156,1399.079452072739,2642.165854859791,3390.859154154054,5367.003173221679,3209.4761485468525,4277.251732177163
SP-157,0.0,1195.5637742801614,690.4916330547766,0.0,132.73798399467546,249.28159404047724
SP-158,62160.414584471575,114184.9509105591,149848.5108805944,137740.58426788214,52494.71237877317,83651.48430047627
SP-159,147934.36314718248,203440.0091980139,574085.943897458,336888.43882224936,193042.1130539416,259801.57032065687
SP-16,21373.858514753363,98969.24403878828,107209.73080599468,77750.30282150122,28562.468482367574,34778.91086211597
SP-160,198.63768115942025,0.0,129.47821841433833,0.0,598.6661719900774,199.5891526527953
SP-161,20858.789996329164,135331.22830195405,112963.81015888914,124161.37359908297,20522.11584261139,65580.89714806392
SP-162,7238.661057501263,8069.718083824063,356999.14754227956,1613.904189035808,15417.683654040275,2659.121476438693
SP-163,139213.87001472895,18071.535102944054,70231.60316336411,40073.980201846665,30590.871467740864,6640.349616499047
SP-164,748.0486379245214,3456.5232310843585,9890.249502393039,1603.0915660706287,2223.5231832139953,2502.6222957112777
SP-166,1386.848531767472,97.59449050045794,813.91291650073,894.8481610618201,1838.260913334263,347.3271062520874
SP-167,1790.9050896271349,3978.5737096485173,7627.695963996606,3668.1217345456866,7471.755808163421,8851.345484027772
SP-169,134243.10213264744,329098.27173661476,459289.96398490894,368930.47864702385,155296.87271172844,313923.9305318048
SP-17,48113.12205319604,98485.69443815082,164456.432341267,179634.92985782115,62251.53284031581,109540.62494054857
SP-171,2240.786701402167,199.6459575046975,2095.9168307884765,398.7537063466473,2028.2112240809784,99.2875973516331
SP-173,3216.9198459132426,0.0,2245.828750698627,149.95232498443374,8941.240595570558,49.92679355783304
SP-174,356.72967115489354,2889.9728809837507,1994.5941303416603,4711.556902593017,548.6834713001899,8630.743192797541
SP-176,518.6339444792209,7032.939155492262,6960.351634923607,4358.441113682573,2098.0226426472555,3705.52894264272
SP-177,3386.979843653955,3462.854418322748,12238.11067770492,5188.590886935547,4679.96554887817,8619.336126704213
SP-179,19186.18228232018,20025.214364016778,74986.90855287507,30379.414953544845,17650.42787319554,18387.93386220457
SP-18,2428.4234209255656,457.0410623144115,570.7128664960734,1085.0208690689922,9488.489667986916,3743.455020549898
SP-180,61529.17316002438,56929.173747161316,73201.71346395186,66061.58793945094,26747.924463197596,43408.92007096498
SP-181,19939.653780187313,93844.10388496719,134496.8282000769,35621.23305706606,12667.739139273528,26276.354863392335
SP-182,13294.45328939347,19803.859602535595,55354.26076224103,20597.319463814638,8103.737004225734,15829.533847129434
SP-183,2510.2392106099105,5522.589023724258,9173.346019457018,2672.221884821588,4738.898855715696,4810.356277072714
SP-184,2795.62682033834,10093.805670448997,12838.238579846206,4112.800146459288,3345.350803306086,6354.549924824108
SP-185,249.39362340547933,49.900990099009896,1991.2642421539394,0.0,1192.8632080736477,149.57264957264954
SP-186,60977.99266991078,44413.23154697463,172498.54525733268,78041.09923314344,96599.11078563472,87965.03149059993
SP-187,0.0,18.22222222222222,51.08730158730159,0.0,756.8182016301467,18.547619047619047
SP-188,122.78132678132678,199.5195579702622,1340.378733215455,59.61235883771093,501.2307044560565,0.0
SP-189,0.0,398.6666666666667,49.99999999999998,250.0,1183.3372381869829,1527.2283390373602
SP-19,199.85604745370358,149.02550961932045,399.8839617888205,246.1955015086389,1156.9310532106942,448.8317207880563
SP-190,150.90559223947017,0.0,192.8743493540904,208.65148097281048,1837.2222131557514,256.19092388245343
SP-191,68957.02596968123,7313.615292066939,111442.60195977543,10544.756662181253,71481.78627345023,9949.47299763445
SP-194,621.8342455681955,49.95726495726492,514.4198919838865,1170.7600350367156,12584.370934224933,5771.770529298233
SP-195,0.0,0.0,149.78323699421964,0.0,47.25,0.0
SP-196,891.0180151576275,49.59016393442623,2641.541743057352,221.46348380079246,2046.9951115006636,344.7694677345206
SP-197,2324.4361525333256,2290.2021574901223,8233.189655718124,3595.998421049383,3866.360753677872,2363.422114941146
SP-199,473.048560627954,49.9090909090909,146.2631509626556,99.60234244283323,742.1116477832293,159.93818720429454
SP-2,239290.88084662924,151791.7576860055,445320.2890229804,367677.4908646627,112850.25659299247,199626.57835044133
SP-20,61909.89952537032,39102.91990531754,183472.19416214092,85194.47415721303,74295.33286070444,59609.6086604024
SP-201,0.0,49.96549344375419,0.0,0.0,1135.7714298168855,191.82796665504222
SP-203,11686.397781773065,3080.0434654242767,13090.963023931361,4122.056544062837,14761.528034166751,5479.3012345086145
SP-204,4498.346584326703,1502.7253998394924,4941.139945563542,3498.676849913453,6473.096413727158,2007.869111299309
SP-208,24962.522191310272,149.72027539832635,19290.43113162586,1035.027591586173,25486.585169864815,482.31779118058694
SP-209,0.0,0.0,18.273224043715835,0.0,398.3758182022895,17.94059405940594
SP-21,129.00548245614033,281.44264441171657,603.2350160641984,49.90791896869243,357.5575320691483,149.4282669431723
SP-210,584.2613978106581,49.84662576687115,1246.8353275616037,249.38650306748465,1457.617094713159,596.4778428477495
SP-213,208552.06137516603,9915.215648222676,92947.23707744296,49381.291098485905,98616.93637601534,16430.552899908125
SP-216,399.0608542081204,49.893390191897645,475.8285952193762,256.8194499974944,3475.196250238858,594.1567207788496
SP-218,99.38650306748467,147.14860867659948,230.02495103926594,194.17322902803474,241.87859776882226,286.01802620616525
SP-219,193.0921052631579,509.21052631578954,514.2869420513041,663.8157894736842,1430.4711653888778,678.977808326787
SP-22,3593.6837275815674,4131.767880003458,11115.05451807797,1307.863985019082,2310.577433918147,1109.9324115414202
SP-222,89172.99292914126,8872.858944018697,198292.70272438927,11703.300913777275,161168.20504842527,13130.709545543583
SP-224,13987.776214679603,3517.3978183639115,38688.896210361294,3536.655260130797,16965.52845186052,2233.8135269261
SP-23,27222.34352931294,2340.9736900415514,22072.021525582688,6955.821990930536,81286.89773362735,9620.357197776897
SP-230,422.0601633682119,0.0,49.12003367003365,351.75763338302556,5542.988569631581,1035.0104028930439
SP-232,802.6996847341296,696.4871726888218,1772.2509237279867,903.1850115848666,1103.6572459528309,498.59973947052697
SP-234,132.6558708828273,0.0,199.76536593589077,99.13697413697412,149.73281247776396,99.23664122137406
SP-236,83261.30268629715,165122.54835333108,241083.1205688486,291807.9899606234,108251.37748653599,230951.47576406447
SP-237,687.4987276592672,0.0,141.36716688399486,49.923195084485386,1827.1279683777018,0.0
SP-238,148.24713890709634,499.1226621828609,448.98784233667544,349.13358373215596,1704.288626261976,347.31462664706487
SP-24,49.87080103359172,361.1943479300618,990.9385914166268,199.12048405476105,199.48971289841768,99.74160206718344
SP-240,49.92295839753462,49.96339677891649,149.65975305422012,49.92331288343553,131.56242487588185,0.0
SP-241,53466.45449767027,1623.1987693005624,25838.613070324027,7877.530497121621,105503.28966056096,8331.021786297077
SP-242,198.6458372434944,2797.440103587279,1532.88065344011,540.3981351341048,1795.591796451426,3278.6968049721904
SP-243,401.9628536984195,0.0,469.9503035952247,0.0,1527.4265792983451,38.14414414414414
SP-244,1597.111187756831,5089.150121522632,5473.690892560997,4430.024523327067,3035.569382108846,3442.79032213354
SP-245,24603.23839347885,49904.039735737075,65200.269746637205,90263.27174207114,30797.097341492718,48239.90592728726
SP-246,661146.4445395642,444734.8195648367,1779030.9848327506,590978.1536990829,915714.6156215124,518384.40641492384
SP-247,56033.87661374234,169989.10420639903,211196.61809586402,140421.90063360534,148244.63219874128,220587.70286118405
SP-248,0.0,0.0,0.0,96.54838709677419,448.44230519809435,0.0
SP-249,234.37739709513897,366.2082501505213,1162.575184144173,362.4062980030722,11216.408412421526,2654.5716075468563
SP-250,0.0,0.0,149.7360746573344,149.80382937875436,99.84615384615381,0.0
SP-251,0.0,0.0,99.84227129337535,0.0,49.96408045977004,99.59677419354838
SP-252,3987.3999103629158,15138.578663202594,25003.603424569297,8639.661050131455,3926.1850559548047,5474.227975283131
SP-253,3097.2557197936494,486.280890377632,6879.8745828397105,1084.4236937217677,7391.422757370435,863.2332841873184
SP-256,149.7401076119259,0.0,249.5926940793898,151.14533093147463,1058.6319776661278,149.31875142401455
SP-257,1824.8149038008191,140.7857445637968,3862.4222444056563,49.90291262135922,3484.130527228226,198.97136527712274
SP-258,49.90366088631983,249.6424903722721,249.54356388514168,149.64347934295668,49.92378048780484,99.85110606920014
SP-259,51777.884126623285,41943.17629064749,78833.28436426888,68156.98462562807,12847.312097371723,21136.841786535402
