bin,ERR598971,ERR598980,ERR599004,ERR599015,ERR599051,ERR599060,ERR599067,ERR599076,ERR599115,ERR599127,ERR599152,ERR599175
NP-2,1282924.0069775488,4383845.350686421,1629372.9908713792,637276.035954645,1659561.1757044438,1660865.7573228537,255483.0528207223,634225.7764470091,1838264.4071057383,639985.648648931,642617.5943056032,1652230.6071417078
NP-20,14233582.383074261,173710.01290888642,78393.74323398466,34883.42114277651,81493.02133321241,81339.93821602804,2801500.0753609566,35095.29767098599,260793.8956417515,36401.605393529935,35672.36370386469,82813.15457580528
NP-21,508830.1839526243,308601.70882922394,4718948.964123656,1276109.4119385146,4785850.4843353825,4796183.805194531,100124.72407613929,1276282.4437874772,549925.4104674552,1270641.5491810406,1290351.8883659295,4775877.230413916
NP-22,15729740.571978549,19091490.92740267,2787817.143661863,1851133.0631922693,2806732.355191623,2798716.8196176174,2982631.7467932855,1860393.9422605997,23705448.54776789,1849000.9408076906,1840030.3148680606,2804971.602501309
NP-23,37592.17477742871,41563.98168144106,40841.26730960036,7611948.714922163,40003.42935602028,42344.4299640143,7135.831724377556,7638039.243990563,202691.28597692194,7637435.288677814,7608225.156721302,44555.762753861614
NP-24,4766457.539661013,108555.33293836119,3993459.9138294975,9224336.2509222,4056597.0643159165,4066015.2432186794,915811.6058885868,9208218.211364064,154451.9790650394,9228631.976595664,9283424.556030413,4052853.8981347377
NP-25,74018.36154774611,3603660.1218720726,153491.8201129278,764475.9241703729,153419.80002968386,156859.89665764337,17972.401708652862,770967.9662001263,44092363.39671426,762770.2808580142,758493.2704275857,155704.90903250637
NP-26,1140142.2910199177,3278427.490097245,245511.44399352514,3426242.899956138,257451.38378554865,259894.4360128806,236210.38068131657,3448919.019535288,3378995.6088917,3416326.0441566384,3435915.737655968,250038.31728155352
NP-27,4852981.133634604,164864.74015099416,249163.37794627083,102245.46721614411,264088.64404624916,258039.41419045904,972538.7484973974,110581.79019401057,838661.4375213135,106724.56312168499,103726.03494590217,258451.6285619793
NP-28,51109.251561331876,88904.16153923998,227948.49219649582,1153177.7163155605,228419.01072504945,230889.67602573757,9130.832235560874,1174107.1031807591,208633.20545062056,1173603.164748613,1166517.6058762677,223582.18907837616
NP-29,36648.560855638236,77418.51569626505,35929.22206949027,42284.19103405763,36376.998070658425,35994.92906830884,6720.433568078781,41492.43538666533,147089.92369799287,41390.82294794065,44066.432034801626,37050.7991663775
NP-30,1066846.8967930607,2382589.951449511,68802.45772643617,1861674.8679836553,72108.86991107467,68819.93672891428,200091.34728362874,1849347.9308706142,2176289.6281781024,1861825.9066380926,1860377.9596120734,68909.12695487578
NP-32,587094.1631758357,141226.76732765694,559873.0363396349,97656.17300529078,566315.2484310516,571479.3109548065,119500.81620013923,103937.50716396434,184087.50334888752,98724.6648935747,106539.18353403757,563114.3817224399
NP-33,133585.60586578722,767178.4226037151,211593.92091183944,257948.53040619212,213252.2975571001,217723.23462698038,24337.781515152306,265444.1428954952,4458964.161468514,265407.71315122844,271036.3368918267,223540.85397075937
NP-34,5199526.867924526,5485784.300440228,1026755.136742739,4572726.353024451,1028685.6602419862,1038705.4964683305,1068719.4165146605,4585232.54622987,11957314.52251568,4659073.877166724,4635416.482116569,1039198.2037165548
