bin,ERR598952,ERR598962,ERR598965,ERR599007,ERR599065,ERR599108,ERR599168,ERR599349
CPC-71,62256.354550387754,23939.82524696751,57407.795039690674,139753.85362739244,307682.1308405859,121492.87400902367,67158.73947752788,8305.466909236835
CPC-72,9695.310947175245,3709.936467092861,59607.785990993005,20077.17573303796,55799.933733183265,20020.092075939632,6444.690432057742,168.40381954693103
CPC-73,19660.57154008854,401777.86743390176,49135881.39065913,2199315.763321163,107927.5882039369,43901.58695320347,837213.1208232939,145.5140537995583
CPC-74,6416.093449494431,83803.82834590491,38743877.80790266,484313.2581420686,37401.025114858254,13771.176671356387,261560.5944098966,97.36626554526478
CPC-75,25858.209270258423,167379.43761918534,56989629.9135645,918399.0607970656,138796.11996696555,52959.03028476287,368646.47018049605,162.53941148616423
CPC-79,285679.18170156353,197232.28196274093,203126.66176167622,1082963.0210780434,1454493.2039460756,568731.5268412466,529310.1922324913,2420.907056888921
CPC-8,23176.53835228224,16888.21223471789,145705.84134532436,94316.22902446534,128879.71001056129,45857.74190004077,39787.53042856133,6274785.917105202
CPC-80,27440.37205596813,27041.519433052308,7248227.244527064,149352.98072634966,138643.5337057294,51964.150231950094,63928.83158251546,1736241.2532519775
CPC-81,117059.36962193763,19178.819289180403,137563.26847563172,98433.53845338969,595566.4271100174,226035.71748281646,23593.969164086117,901.3986261926432
CPC-82,2225611.2509482643,2605786.2806996116,1001937.5528948533,14145658.350136485,11521029.44870164,4459070.230196753,5498742.636050899,174.18466778865462
CPC-84,120417.48651348893,15590.101457305811,49034.78723240529,94720.36761364946,615432.9823598467,243877.37846835307,33132.42307335152,21.311762723289515
CPC-85,2100.2017723667177,9525.046230075337,9481544.023105968,53139.08431850385,11540.077716241147,4725.902725748672,15771.92509706143,41.54371009129112
CPC-86,2685.2478471294435,4446.613680266441,23216075.952242106,20926.71434362144,19965.442434802862,6807.525579953001,6562.190821890515,154.42680524462065
CPC-9,33348.67971268289,142725.05120798622,97093.24785084369,836490.4169189383,197543.38273536199,77230.8199237248,499504.4411716999,17816.542633146513
CPC-95,2817.503876050783,2812.364349974658,516942.0823004033,16998.120487737364,14692.82249405978,5331.920134598666,5036.0123319509285,24355206.544015955
CPC-96,1587.7313703543346,24863.26240194105,47846558.04381068,135199.47582509136,7449.742225645997,2353.095877019872,52391.68054988437,225.83994645247648
CPC-97,450444.9495133847,2430069.653570171,39114895.62194764,14002869.803501837,2367644.524849133,923391.3228185336,8325146.294482822,412.1805981987984
CPC-98,26031.36295048091,16286.628889065081,172905.92321525552,80472.50002694334,148314.1518131286,57673.59929087268,45231.18634209968,4318.73712991792
