bin,ERR594291,ERR594324,ERR594382,ERR594385,ERR594389,ERR594414,ERR598972,ERR598982,ERR598990,ERR599018,ERR599023,ERR599025,ERR599026,ERR599107,ERR599110,ERR599362
EAC-46,1680.4324206851963,198.96917378120304,256679.077070792,47810.094744354894,4739793.772195587,255426.5935364378,974.303453573224,2332.6379145031674,3635.2668281490214,1126.8985512362933,3315.943195012687,638.2396505605241,3255.334171503362,1886.7500186282261,9346.60826736925,2557567.3291441654
EAC-47,4772.835617647236,4390.733655002657,4720516.410914395,43739.6623035294,9526233.407747602,4683544.750956651,2379.5217284411856,475.51251046261024,2552.903286004132,1429.5453795828216,8324.763890552556,2341.6599828364,10742.514326066375,522.9848411939661,4939.632952862519,49313.73107903181
EAC-48,7411.875119660442,15665.095291752428,116861.9552926624,929831.9958009247,505099.9421611463,117652.43596348233,11365.991874381658,1203.9811768923169,11202.921604939442,5210.172357700983,39726.29769248775,11283.587906163244,55783.02933766595,1345.8591141828344,27102.21369725879,255677.57686154937
EAC-49,4550.368118238317,7419.03890007574,364810.9455413824,50031.991328344724,92871.62131181678,352731.4675218819,16085.890611974863,739.3832142358555,5731.099405461999,2181.25346970651,50692.93080935628,14176.051298346161,80635.44038941995,812.493605689049,13792.400893997677,118747.28861180661
EAC-5,1111.2447732135079,904.470078090942,783481.8138159763,26306.50728916631,245532.91764211893,763546.813395306,143.9812967004784,155.76708378352134,424.49443738141747,65.55312833042375,708.2889770527054,314.43260075239255,653.4979128104904,281.3571150505108,997.9548595623057,4154.416521784512
EAC-50,16302.93292624864,34640.60281798496,294125.27695870836,407518.5667075008,551907.4898588124,281419.8497513695,137596.99467263697,4712.339367390742,25180.675616054454,9657.035520116297,464413.5216746106,134795.34829923467,812175.5863373226,4788.609055216116,57677.28057909383,537070.6832209363
EAC-51,897589.1471255296,38652.05239378897,25361.527383493907,779.691418488636,17714.292035948263,24759.381268531582,22539.256653043918,125923.11726251333,706386.5054509762,305586.98674968886,63014.12575324926,23859.903580357135,64641.23309729219,123129.38994799124,1708600.8969692322,39803.3384088582
EAC-52,1951.1662155082804,104.4628884494832,1159764.6170498447,16.95114942528733,57801102.07596744,1129624.763671342,343.82282427310423,58.23033732976184,254.6224867284425,177.00043332054418,723.417791792867,119.61129022825355,182.3729863411132,78.2840639345278,429.58011016899036,1644733.9828397362
EAC-54,12286.425846188646,18047.3882898276,14418.041877623571,2827.2053066644157,24323.464524131214,14842.246405527667,6885.602569919496,5268.232356012854,54976.66409605436,27549.207889558358,25000.121899733298,6509.074689210816,12435.808326558183,5183.082329840701,141226.9079703619,5990.004902017271
EAC-55,122672.80338482428,68182.63674390687,14593147.803006535,81575.5950000976,1652813.831572103,14398560.676956438,14221.678910807335,4365.959081728949,24626.505665390378,9411.463006228578,39962.019698059674,13918.238852342776,66506.09430072372,4201.104526509572,55105.731106056766,446635.95788854366
EAC-56,3907.2225325164372,6330.916329907752,608446.2225901377,49639.16303805089,11932634.153706802,612227.91339639,9006.689884522706,1166.6901876740294,8674.879586357576,5840.317165762865,32552.150589601937,10386.91697569369,18579.11891558414,1387.7286341670408,22932.794248105893,54209.257132090184
EAC-58,1134.2870885075783,1508.1176721776724,31426.54710213037,34014.298850388695,777995.2202631724,30442.226074247235,7385.483498512103,546.2251594435032,3105.206292324739,1943.2137511713797,24394.979101226767,6150.797937436227,32238.289438996297,871.9991296853857,8002.11191593089,952056.7487626941
EAC-59,1617.5824581002944,702.0555332661577,24410.88638867162,33438.48417270052,77403.51283218154,28408.394010617667,564.7394635380034,642.1298539133109,2162.4142353702287,699.6252744629329,2820.387747097446,895.0263274599665,2504.2382373037008,504.828467225983,4628.947705849888,13443.82333308983
EAC-6,185584.17746162793,20372.32501405829,109041.58081480903,3605.583819887923,119296.22464426549,113702.12491012238,6685.233103475943,22732.858172467735,505346.3711916641,234722.2457014594,23911.322643592808,5579.551002231997,12800.319987108052,21346.09526910102,1235496.8468402545,6846.877273862175
EAC-60,231326.66426038073,138034.20052188763,153253.80761288278,143612.43056114056,5863034.601222766,146970.6447899044,2492.4921211907817,41751.77042308264,3293.587742583417,2003.5192071234073,5256.343778784958,1745.49979861384,20164.811025609102,39827.254663157415,7623.535635279703,245869.0030623542
EAC-62,13945.796595286567,7211.42221507053,2658186.864868782,8723.600393618231,346109960.7185208,2625941.031736448,400.35325685022764,1747.6558833248173,307.1160459290229,218.69822472593185,1180.181040170505,506.33667423722574,594.6616723497634,1530.5212038994446,701.6691195326241,18255.78819312069
EAC-623,398432.81221409206,75242.44915156648,268.47672224988594,726.8088026327772,0.0,278.240096614923,9416203.980976759,589038.3740019532,8094977.079871945,3501958.200362212,25405389.959409717,9213715.278473318,14161990.306356153,591169.2010761607,19210308.65921271,0.0
EAC-624,1110016.868564236,74483.95134457873,254.80719546166728,67.12742099898063,0.0,180.0295470521791,1849344.591405479,967801.5337698624,11001846.693635928,4679080.384630432,4668943.762410706,1812018.3063292073,12965175.235413117,955046.1731164635,26115575.347638614,0.0
EAC-625,17831.487323350386,10288.093437095287,5520.274370115031,1273.5908347140282,56005.47355435504,5171.243213801695,21420.747536600273,3605883.762700442,26127.04860586592,8972.351720700663,55509.23900167907,19095.89812824538,36287.337798201275,3540193.3790063425,65378.32015470445,1248.9982592925483
EAC-627,134.32833786689207,0.0,0.0,0.0,23.964459094519345,14.655017209425448,964.2802464573125,776.8808408317923,4810.755765296165,4963.676919624583,3932.064832096026,1091.9826989738428,3185.8693408510985,928.6697738281879,9671.120312999998,0.0
EAC-63,12653.504656051531,55811.220223665325,168002.0988183906,13331.491101527507,160548.59741776506,158801.3190566178,3138.5730106131336,1338.1587488625246,15630.2941280601,6816.873485812098,12988.42384971651,2275.712564695513,6622.3725241350485,1196.7735397391139,36302.27496177585,60238.37948678359
EAC-631,31558.56224680961,14761.16200972984,219441.68077644773,3127.208665233407,519764.1307727466,221045.54533868868,3674.9341474165994,4461.565012846272,31317.36904583591,17006.210070249905,14232.15865047162,3325.668165220278,11589.606166457967,3964.6943776111575,82209.40500788526,11373.12523258732
EAC-632,4160.877019089958,10832.60654227256,5612521.877421234,2085.225313428374,39953653.321722105,5544223.98567628,5808.651040811784,623.0022199415104,7264.3011871509,2388.843361780304,25866.14921215219,6640.318836606017,11281.790150280425,644.5564997245399,17532.94092787037,33877.01799715792
EAC-634,233499.0191031711,443209.16743378516,372038.9937120453,18126.684101939427,695310.6829870495,361231.48416349565,4962.527440915095,35514.024292383205,1194603.5519479942,552871.1854718964,22496.567246713123,5509.649255793803,70864.52888182095,33806.84310603803,2844003.5424640053,50643.79279072073
