bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,defense_pnps_median,defense_count,transposase_pnps_median,transposase_count,Trans_abun
NP-142,ERR599115,MES,0.07816128862552807,741.0,0.09055508599402992,26.0,0.09493862279164933,9.0,,,0.0
NP-142,SRR3965586,deep,0.07709560992702502,188.0,0.12263875942242294,6.0,0.08233776070287444,1.0,,,0.0
NP-1444,ERR599052,SRF,0.12864456943732933,1218.0,0.11224460033353947,32.0,0.13879825248603847,27.0,,,0.0
NP-15,ERR598971,MES,0.031206507332655363,502.0,0.03233895778098178,45.0,0.11888081052612141,14.0,0.0406486502296941,10.0,0.02920326159151572
NP-15,ERR598980,MES,0.02749717908474438,429.0,0.039372159587502606,38.0,0.1847443270473927,9.0,0.03805739303176348,7.0,0.015120160793321681
NP-15,ERR599004,MES,0.03205292097197811,114.0,0.041764925682639856,28.0,0.9570804967949628,2.0,0.04853636987721194,5.0,0.028457716058028264
NP-15,ERR599015,MES,0.0413924986391124,285.0,0.041772874681946306,36.0,0.12453531654011168,10.0,0.06757049498231017,5.0,0.009946973463257484
NP-15,ERR599051,MES,0.029784305715361926,112.0,0.03916268467101727,26.0,,,0.061440291068465276,5.0,0.02684500393169777
NP-15,ERR599060,MES,0.03632648725656037,118.0,0.04076877262859268,29.0,0.27729473795211274,1.0,0.04471156957576117,5.0,0.025823193942065677
NP-15,ERR599065,DCM,0.021799850026553783,117.0,0.03803989722298578,23.0,0.5554429035730013,1.0,0.03578136975875334,5.0,0.030510176603026323
NP-15,ERR599067,MES,0.02561768261384108,245.0,0.03219745415854862,36.0,0.14018197977678604,3.0,0.02861125747390157,7.0,0.029344556043469763
NP-15,ERR599076,MES,0.04063930838785084,273.0,0.0426557474486229,36.0,0.19278753849154495,9.0,0.0647404803737407,4.0,0.009998896902279095
NP-15,ERR599087,DCM,0.028028205660634208,194.0,0.03808825343719829,33.0,0.34491973442654394,3.0,0.04000938346026665,5.0,0.01865582324226065
NP-15,ERR599115,MES,0.02384329767830233,214.0,0.03872603103137855,33.0,0.122515878497364,2.0,0.04302384701089251,6.0,0.012060171020539613
NP-15,ERR599127,MES,0.039000062474886174,281.0,0.03773501022124545,36.0,0.1238515519893802,5.0,0.06621067450344045,4.0,0.009821688048984376
NP-15,ERR599152,MES,0.04106846454772385,284.0,0.042942747893435926,34.0,0.13931657538291234,8.0,0.07202328851989051,5.0,0.009666757740564113
NP-15,ERR599175,MES,0.030451383252310314,111.0,0.04470796232964185,25.0,2.2661767454889423,1.0,0.03479774565313472,4.0,0.0273936205099142
NP-15,SRR3965585,deep,0.043676934222253966,227.0,0.04757593362900642,35.0,0.15011431029730365,4.0,0.07438098351796027,9.0,0.032263011457297264
NP-15,SRR3965586,deep,0.03823911055863711,200.0,0.04906020965189127,36.0,0.1696968304401083,3.0,0.045089231647598815,8.0,0.026973551066467042
NP-15,SRR3967905,deep,0.04360204442853838,89.0,0.055682358724205495,22.0,0.560691353045543,1.0,0.035892689478733544,3.0,0.031414790461469416
NP-15,SRR3968062,deep,0.03935974203876404,297.0,0.046807560747314715,41.0,0.10544877402164543,9.0,0.048693689831336484,9.0,0.022104004577491308
NP-15,SRR3968063,deep,0.04665027783638712,356.0,0.05655831189947145,41.0,0.1364576405839759,14.0,0.06586224410723311,9.0,0.03289349145779076
NP-15,SRR3968770,deep,0.04870926262583379,170.0,0.059531933607221574,32.0,0.20542120738628233,6.0,0.05587209806818767,5.0,0.0571630940296425
NP-15,SRR3968777,deep,0.03597430742609765,109.0,0.06130853602035079,23.0,0.30429133275272163,2.0,0.03610778360374334,4.0,0.033736511705557436
NP-150,ERR598971,MES,0.119469166238911,1699.0,0.10186389234564154,61.0,0.10350305294699867,45.0,,,1.8092722300576852e-05
NP-150,ERR598980,MES,0.12416446017901717,1762.0,0.12004283125270682,58.0,0.10768881013633588,48.0,,,2.5661287753959483e-06
NP-150,ERR599115,MES,0.13661206258925296,1737.0,0.1403323719857474,56.0,0.10797667459544316,45.0,,,3.311907598187075e-05
NP-151,ERR598980,MES,0.03259801802624123,921.0,0.024795231479576865,16.0,0.039231373862633805,22.0,,,0.003711709347502333
NP-151,ERR598995,DCM,0.03481392092878753,178.0,0.08655614976377375,5.0,0.07315784786158543,2.0,0.0144011046289166,1.0,0.0034898133842337607
NP-151,ERR599115,MES,0.0417771394103059,1998.0,0.02758770640899744,31.0,0.036153006269953096,39.0,0.017682975704235673,1.0,0.003294052390607153
NP-156,ERR598980,MES,0.05563830181560095,160.0,0.0,5.0,0.04707394578496141,10.0,0.07118589605652229,3.0,0.007354736700893811
NP-156,ERR599115,MES,0.08098261693322886,186.0,0.1481574993886732,8.0,0.13019047075426096,7.0,0.09711511213841571,2.0,0.0073259576919986425
NP-156,SRR3961936,deep,0.14746115602973037,8.0,0.20362936265180942,6.0,,,,,0.005847206681589541
NP-156,SRR3962293,deep,0.060650149219518404,14.0,0.04137573860971749,11.0,,,,,0.005968891531725698
NP-17,ERR598942,DCM,0.025671665263803475,106.0,0.019713440421234865,16.0,,,,,0.0
NP-17,ERR598989,SRF,0.01611118386426188,34.0,0.03456279879071962,10.0,,,,,0.0
NP-17,ERR599052,SRF,0.10650565142992667,1497.0,0.048426284952682336,35.0,0.09757797487598523,30.0,,,0.0
NP-17,ERR599118,SRF,0.023311727535588328,47.0,0.030258214816551443,13.0,0.03696408387380384,1.0,,,0.0
NP-18,ERR599052,SRF,0.09930695803475138,1062.0,0.03038615731371077,25.0,0.11399092671276492,15.0,,,0.0
NP-2,ERR598971,MES,0.03692309878981607,117.0,0.04335604995344248,24.0,0.16886165776435397,4.0,0.04905278680793953,2.0,0.023432003632768192
NP-2,ERR598980,MES,0.02983621707081069,100.0,0.044570539696827886,21.0,0.08813792896660463,4.0,0.06178594400982417,2.0,0.005622273690538443
NP-2,ERR599004,MES,0.024002676090178785,27.0,0.02809734002685813,13.0,0.19102712604043684,2.0,0.04237244512883719,1.0,0.0056989251540676
NP-2,ERR599051,MES,0.022502813252027857,26.0,0.026640057784439116,13.0,0.4314466119773874,2.0,0.0351687288285214,1.0,0.006013873044060837
NP-2,ERR599060,MES,0.039355545265909606,28.0,0.049945035201850646,12.0,0.3747065882509428,2.0,0.03698737526857857,1.0,0.005683310086746388
NP-2,ERR599067,MES,0.024163340429094876,26.0,0.038724309499371966,9.0,0.2869433909044579,1.0,0.041196753962454334,1.0,0.027325824743067374
NP-2,ERR599087,DCM,0.04308858752695818,24.0,0.052703177630123076,10.0,0.1093839671904539,1.0,0.026082060128040496,1.0,0.00712512905700762
NP-2,ERR599115,MES,0.04077777791602703,18.0,0.04077777791602703,6.0,0.10049757512456786,2.0,0.07437968207764728,1.0,0.004857353155546127
