bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count
NP-12,ERR598980,MES,0.06021997768898143,21.0,0.08217085427135645,1.0
NP-12,ERR598995,DCM,0.05471015790039107,1.0,,
NP-12,ERR599030,SRF,0.0075022624434389765,1.0,,
NP-12,ERR599060,MES,0.07116529110752802,1.0,,
NP-12,ERR599087,DCM,0.2625164763154512,1.0,,
NP-12,ERR599115,MES,0.07845687949774699,37.0,,
NP-12,ERR599175,MES,0.0,1.0,,
NP-120,ERR598942,DCM,0.018071605159284843,1.0,,
NP-120,ERR598952,DCM,0.0063893060792980525,1.0,,
NP-120,ERR598971,MES,0.010706885179537958,1.0,,
NP-120,ERR598980,MES,0.009779679080821054,1.0,,
NP-120,ERR598989,SRF,0.012258276830793351,1.0,,
NP-120,ERR598995,DCM,0.01711474689788414,1.0,,
NP-120,ERR598997,SRF,0.0037586031297754045,1.0,,
NP-120,ERR599030,SRF,0.004418373383850321,2.0,,
NP-120,ERR599052,SRF,0.018383016502921845,1.0,,
NP-120,ERR599065,DCM,0.007953380982747477,1.0,,
NP-120,ERR599087,DCM,0.019927375305821275,1.0,,
NP-120,ERR599108,DCM,0.0072059794164836535,1.0,,
NP-120,ERR599115,MES,0.0041045144955439775,1.0,,
NP-120,ERR599118,SRF,0.011492635066037576,1.0,,
NP-120,ERR599142,SRF,0.006713398497566229,1.0,,
NP-122,ERR598971,MES,0.1227333015482478,2093.0,0.06390923785213573,62.0
NP-122,ERR598980,MES,0.12154546839072293,2039.0,0.10051741471864066,63.0
NP-122,ERR598987,DCM,0.1347379594252459,1628.0,0.06687368446618386,37.0
NP-122,ERR599004,MES,0.1317234300099001,1554.0,0.05920741562282241,33.0
NP-122,ERR599015,MES,0.1311218262920471,1867.0,0.04447401134767183,41.0
NP-122,ERR599051,MES,0.1294154638588394,1577.0,0.05810715664378248,32.0
NP-122,ERR599052,SRF,0.0,1.0,,
NP-122,ERR599060,MES,0.1270092636446544,1583.0,0.08129312037099444,31.0
NP-122,ERR599067,MES,0.1151649457314872,1845.0,0.08024126008268623,52.0
NP-122,ERR599070,DCM,0.13479911080463314,1641.0,0.09819517993322657,36.0
NP-122,ERR599076,MES,0.1272822997237111,1882.0,0.05336806162230922,45.0
NP-122,ERR599087,DCM,0.22682878900645015,4.0,,
NP-122,ERR599099,DCM,0.12797360319160628,1650.0,0.07400341906256326,38.0
NP-122,ERR599115,MES,0.12499256491933486,2088.0,0.09699676789613314,63.0
NP-122,ERR599127,MES,0.12906076091957214,1864.0,0.06897740885700215,43.0
NP-122,ERR599147,DCM,0.13025221746076526,1638.0,0.07279595648980314,41.0
NP-122,ERR599152,MES,0.13207927827588065,1878.0,0.0741307907579249,45.0
NP-122,ERR599175,MES,0.12689196349800344,1585.0,0.06909738875809657,34.0
NP-124,ERR598942,DCM,0.2514028569779549,2.0,,
NP-124,ERR598952,DCM,0.14940706423860745,2.0,,
NP-124,ERR598971,MES,0.20364428524587155,2.0,,
NP-124,ERR598980,MES,0.3940278470256661,3.0,,
NP-124,ERR598989,SRF,0.32863458979143034,2.0,,
NP-124,ERR598995,DCM,0.6237845592133663,4.0,0.0635901652022125,1.0
NP-124,ERR598997,SRF,0.23976459880843567,2.0,,
NP-124,ERR599015,MES,0.35440814108112284,1.0,,
NP-124,ERR599030,SRF,0.42473317378558545,2.0,,
NP-124,ERR599052,SRF,2.1721632267232267,2.0,,
NP-124,ERR599065,DCM,0.32591505463901216,2.0,,
