sequence_id	class_fst_stage	class_snd_stage
c_000000018077	bacteria	n/a
c_000000018079	archaea	n/a
c_000000018144	bacteria	n/a
c_000000018186	bacteria	n/a
c_000000018216	bacteria	n/a
c_000000018288	bacteria	n/a
c_000000018319	bacteria	n/a
c_000000018486	bacteria	n/a
c_000000018550	bacteria	n/a
c_000000018565	bacteria	n/a
c_000000018570	bacteria	n/a
c_000000018574	bacteria	n/a
c_000000018580	bacteria	n/a
c_000000018623	bacteria	n/a
c_000000018628	bacteria	n/a
c_000000018658	bacteria	n/a
c_000000018738	bacteria	n/a
c_000000018801	bacteria	n/a
c_000000018832	bacteria	n/a
c_000000018909	bacteria	n/a
c_000000019031	bacteria	n/a
c_000000019069	bacteria	n/a
c_000000019109	bacteria	n/a
c_000000019117	bacteria	n/a
c_000000019201	bacteria	n/a
c_000000019204	bacteria	n/a
c_000000019287	bacteria	n/a
c_000000019301	bacteria	n/a
c_000000019307	bacteria	n/a
c_000000019309	bacteria	n/a
c_000000019359	bacteria	n/a
c_000000019373	bacteria	n/a
c_000000019388	bacteria	n/a
c_000000019429	bacteria	n/a
c_000000019457	bacteria	n/a
c_000000019492	bacteria	n/a
c_000000019495	bacteria	n/a
c_000000019499	bacteria	n/a
c_000000019512	bacteria	n/a
c_000000019517	bacteria	n/a
c_000000019542	bacteria	n/a
c_000000019570	bacteria	n/a
c_000000019578	bacteria	n/a
c_000000019614	bacteria	n/a
c_000000019617	archaea	n/a
c_000000019657	bacteria	n/a
c_000000019668	bacteria	n/a
c_000000019682	bacteria	n/a
c_000000019685	bacteria	n/a
c_000000019699	bacteria	n/a
c_000000019722	bacteria	n/a
c_000000019775	bacteria	n/a
c_000000019787	bacteria	n/a
c_000000019813	bacteria	n/a
c_000000019863	bacteria	n/a
c_000000019896	bacteria	n/a
c_000000019925	bacteria	n/a
c_000000019950	bacteria	n/a
c_000000019952	bacteria	n/a
c_000000019961	bacteria	n/a
c_000000019978	bacteria	n/a
c_000000019980	bacteria	n/a
c_000000020059	bacteria	n/a
c_000000020380	bacteria	n/a
c_000000020403	bacteria	n/a
c_000000020444	bacteria	n/a
c_000000020454	bacteria	n/a
c_000000020506	bacteria	n/a
c_000000020509	bacteria	n/a
c_000000020599	bacteria	n/a
c_000000020657	bacteria	n/a
c_000000020681	bacteria	n/a
c_000000020687	bacteria	n/a
c_000000020748	bacteria	n/a
c_000000020895	bacteria	n/a
c_000000020903	bacteria	n/a
c_000000020942	bacteria	n/a
c_000000020998	bacteria	n/a
c_000000021012	bacteria	n/a
c_000000021041	bacteria	n/a
c_000000021075	bacteria	n/a
c_000000021097	bacteria	n/a
c_000000021149	bacteria	n/a
c_000000021159	bacteria	n/a
c_000000021200	archaea	n/a
c_000000021257	bacteria	n/a
c_000000021263	bacteria	n/a
c_000000021267	bacteria	n/a
c_000000021300	bacteria	n/a
c_000000021311	bacteria	n/a
c_000000021336	bacteria	n/a
c_000000021372	bacteria	n/a
c_000000021391	bacteria	n/a
c_000000021416	bacteria	n/a
c_000000021425	bacteria	n/a
c_000000021452	bacteria	n/a
c_000000021524	prokarya	n/a
c_000000021525	archaea	n/a
c_000000021570	bacteria	n/a
c_000000021572	bacteria	n/a
c_000000021622	bacteria	n/a
c_000000021659	bacteria	n/a
c_000000021689	bacteria	n/a
c_000000021698	bacteria	n/a
c_000000021717	bacteria	n/a
c_000000021748	bacteria	n/a
c_000000021793	bacteria	n/a
c_000000021795	bacteria	n/a
c_000000021811	bacteria	n/a
c_000000021857	bacteria	n/a
c_000000021907	bacteria	n/a
c_000000021908	bacteria	n/a
c_000000021924	bacteria	n/a
c_000000021931	bacteria	n/a
c_000000021953	bacteria	n/a
c_000000021982	bacteria	n/a
c_000000022021	bacteria	n/a
c_000000022042	archaea	n/a
c_000000022056	bacteria	n/a
c_000000022159	bacteria	n/a
c_000000022179	bacteria	n/a
c_000000022190	bacteria	n/a
c_000000022219	bacteria	n/a
c_000000022264	bacteria	n/a
c_000000022299	archaea	n/a
c_000000022321	bacteria	n/a
c_000000022324	bacteria	n/a
c_000000022328	archaea	n/a
c_000000022425	bacteria	n/a
c_000000022457	bacteria	n/a
c_000000022467	bacteria	n/a
c_000000022557	bacteria	n/a
c_000000022704	bacteria	n/a
c_000000022720	archaea	n/a
c_000000022740	bacteria	n/a
c_000000022792	bacteria	n/a
c_000000022823	bacteria	n/a
c_000000022862	bacteria	n/a
c_000000022929	bacteria	n/a
c_000000022932	eukarya	n/a
c_000000022946	bacteria	n/a
c_000000022987	bacteria	n/a
c_000000023044	bacteria	n/a
c_000000023050	bacteria	n/a
c_000000023060	bacteria	n/a
c_000000023073	bacteria	n/a
c_000000023118	bacteria	n/a
c_000000023163	bacteria	n/a
c_000000023180	bacteria	n/a
c_000000023199	bacteria	n/a
c_000000023238	bacteria	n/a
c_000000023253	bacteria	n/a
c_000000023256	bacteria	n/a
c_000000023258	archaea	n/a
c_000000023292	bacteria	n/a
c_000000023387	eukarya	n/a
c_000000023394	bacteria	n/a
c_000000023429	bacteria	n/a
c_000000023430	bacteria	n/a
c_000000023474	bacteria	n/a
c_000000023503	bacteria	n/a
c_000000023545	bacteria	n/a
c_000000023618	bacteria	n/a
c_000000023632	bacteria	n/a
c_000000023658	bacteria	n/a
c_000000023659	bacteria	n/a
c_000000023672	bacteria	n/a
c_000000023815	bacteria	n/a
c_000000023833	archaea	n/a
c_000000023889	bacteria	n/a
c_000000023952	bacteria	n/a
c_000000024006	bacteria	n/a
c_000000024075	bacteria	n/a
c_000000024078	bacteria	n/a
c_000000024089	bacteria	n/a
c_000000024103	bacteria	n/a
c_000000024105	bacteria	n/a
c_000000024150	bacteria	n/a
c_000000024222	bacteria	n/a
c_000000024229	bacteria	n/a
c_000000024257	bacteria	n/a
c_000000024293	bacteria	n/a
c_000000024327	bacteria	n/a
c_000000024342	bacteria	n/a
c_000000024366	archaea	n/a
c_000000024393	bacteria	n/a
c_000000024398	bacteria	n/a
c_000000024451	bacteria	n/a
c_000000024503	archaea	n/a
c_000000024593	bacteria	n/a
c_000000024613	bacteria	n/a
c_000000024688	bacteria	n/a
c_000000024689	bacteria	n/a
c_000000024712	bacteria	n/a
c_000000024713	bacteria	n/a
c_000000024739	bacteria	n/a
c_000000024742	bacteria	n/a
c_000000024745	bacteria	n/a
c_000000024775	bacteria	n/a
c_000000024917	bacteria	n/a
c_000000024938	bacteria	n/a
c_000000024963	bacteria	n/a
c_000000024971	bacteria	n/a
c_000000024995	archaea	n/a
c_000000025005	bacteria	n/a
c_000000025027	bacteria	n/a
c_000000025036	bacteria	n/a
c_000000025088	bacteria	n/a
c_000000025094	bacteria	n/a
c_000000025160	bacteria	n/a
c_000000025178	bacteria	n/a
c_000000025190	eukarya	n/a
c_000000025193	bacteria	n/a
c_000000025195	bacteria	n/a
c_000000025196	bacteria	n/a
c_000000025209	bacteria	n/a
c_000000025315	bacteria	n/a
c_000000025360	bacteria	n/a
c_000000025424	archaea	n/a
c_000000025449	bacteria	n/a
c_000000025569	bacteria	n/a
c_000000025648	bacteria	n/a
c_000000025658	bacteria	n/a
c_000000025668	bacteria	n/a
c_000000025679	bacteria	n/a
c_000000025686	archaea	n/a
c_000000025700	eukarya	n/a
c_000000025847	bacteria	n/a
c_000000025863	bacteria	n/a
c_000000025903	bacteria	n/a
c_000000025954	archaea	n/a
c_000000026021	bacteria	n/a
c_000000026057	bacteria	n/a
c_000000026084	archaea	n/a
c_000000026092	bacteria	n/a
c_000000026239	archaea	n/a
c_000000026274	bacteria	n/a
c_000000026320	bacteria	n/a
c_000000026385	bacteria	n/a
c_000000026453	archaea	n/a
c_000000026468	bacteria	n/a
c_000000026490	bacteria	n/a
c_000000026523	bacteria	n/a
c_000000026597	bacteria	n/a
c_000000026611	bacteria	n/a
c_000000026658	archaea	n/a
c_000000026683	bacteria	n/a
c_000000026700	bacteria	n/a
c_000000026703	bacteria	n/a
c_000000026733	bacteria	n/a
c_000000026758	bacteria	n/a
c_000000026778	bacteria	n/a
c_000000026787	bacteria	n/a
c_000000026872	bacteria	n/a
c_000000026906	bacteria	n/a
c_000000026925	bacteria	n/a
c_000000026970	bacteria	n/a
c_000000026973	archaea	n/a
c_000000026979	bacteria	n/a
c_000000026998	bacteria	n/a
c_000000027033	bacteria	n/a
c_000000027172	prokarya	n/a
c_000000027193	prokarya	n/a
c_000000027255	bacteria	n/a
c_000000027260	bacteria	n/a
c_000000027283	bacteria	n/a
c_000000027355	bacteria	n/a
c_000000027376	bacteria	n/a
c_000000027389	archaea	n/a
c_000000027390	bacteria	n/a
c_000000027405	bacteria	n/a
c_000000027412	archaea	n/a
c_000000027434	bacteria	n/a
c_000000027435	bacteria	n/a
c_000000027503	bacteria	n/a
c_000000027505	bacteria	n/a
c_000000027571	bacteria	n/a
c_000000027593	bacteria	n/a
c_000000027597	bacteria	n/a
