sequence_id	class_fst_stage	class_snd_stage
NODE_216_length_23610_cov_16.1735	prokarya	n/a
NODE_217_length_23604_cov_21.7754	bacteria	n/a
NODE_218_length_23584_cov_26.0865	bacteria	n/a
NODE_219_length_23558_cov_14.7082	bacteria	n/a
NODE_220_length_23518_cov_5.57652	archaea	n/a
NODE_221_length_23456_cov_14.7992	prokarya	n/a
NODE_222_length_23387_cov_12.3466	archaea	n/a
NODE_223_length_23379_cov_9.22256	bacteria	n/a
NODE_224_length_23239_cov_6.31694	archaea	n/a
NODE_225_length_23071_cov_64.5645	bacteria	n/a
NODE_226_length_22981_cov_15.307	bacteria	n/a
NODE_227_length_22954_cov_5.74095	archaea	n/a
NODE_228_length_22830_cov_9.37756	eukarya	n/a
NODE_229_length_22809_cov_20.4477	prokarya	n/a
NODE_230_length_22791_cov_11.8659	prokarya	n/a
NODE_232_length_22670_cov_14.4525	bacteria	n/a
NODE_233_length_22666_cov_5.17403	bacteria	n/a
NODE_234_length_22595_cov_8.02799	prokarya	n/a
NODE_235_length_22477_cov_9.90277	archaea	n/a
NODE_236_length_22437_cov_14.6641	prokarya	n/a
NODE_237_length_22436_cov_10.2377	prokarya	n/a
NODE_238_length_22279_cov_7.63836	archaea	n/a
NODE_239_length_22167_cov_8.2779	bacteria	n/a
NODE_240_length_22166_cov_30.6587	bacteria	n/a
NODE_241_length_22100_cov_9.07526	bacteria	n/a
NODE_242_length_21936_cov_7.61323	bacteria	n/a
NODE_243_length_21887_cov_11.4041	bacteria	n/a
NODE_244_length_21884_cov_11.7215	bacteria	n/a
NODE_245_length_21879_cov_9.20817	archaea	n/a
NODE_246_length_21870_cov_6.32051	bacteria	n/a
NODE_247_length_21860_cov_4.12713	bacteria	n/a
NODE_248_length_21839_cov_8.3593	archaea	n/a
NODE_249_length_21812_cov_5.54488	archaea	n/a
NODE_250_length_21805_cov_78.3743	prokarya	n/a
NODE_251_length_21749_cov_25.0258	unknown	n/a
NODE_252_length_21744_cov_33.7659	bacteria	n/a
NODE_253_length_21659_cov_7.64507	prokarya	n/a
NODE_254_length_21645_cov_5.61246	archaea	n/a
NODE_255_length_21612_cov_10.7707	bacteria	n/a
NODE_256_length_21568_cov_16.9087	bacteria	n/a
NODE_257_length_21504_cov_19.2926	prokarya	n/a
NODE_258_length_21395_cov_8.99709	unknown	n/a
NODE_259_length_21306_cov_40.8638	bacteria	n/a
NODE_260_length_21290_cov_63.6599	archaea	n/a
NODE_261_length_21253_cov_21.8044	bacteria	n/a
NODE_262_length_21250_cov_8.56575	bacteria	n/a
NODE_263_length_21221_cov_4.88647	bacteria	n/a
NODE_264_length_21186_cov_5.30131	unknown	n/a
NODE_265_length_21121_cov_54.8314	bacteria	n/a
NODE_266_length_21033_cov_5.54524	bacteria	n/a
NODE_267_length_20967_cov_4.40403	archaea	n/a
NODE_268_length_20958_cov_6.6544	archaea	n/a
NODE_269_length_20940_cov_17.4482	bacteria	n/a
NODE_270_length_20925_cov_7.28874	bacteria	n/a
NODE_271_length_20896_cov_18.8218	bacteria	n/a
NODE_272_length_20893_cov_38.5548	bacteria	n/a
NODE_273_length_20839_cov_9.36456	archaea	n/a
NODE_274_length_20822_cov_8.02316	archaea	n/a
NODE_275_length_20820_cov_62.6441	archaea	n/a
NODE_276_length_20807_cov_17.6168	bacteria	n/a
NODE_277_length_20761_cov_6.50063	bacteria	n/a
NODE_278_length_20747_cov_14.0014	bacteria	n/a
NODE_279_length_20731_cov_17.0806	bacteria	n/a
NODE_280_length_20729_cov_15.9407	bacteria	n/a
NODE_281_length_20690_cov_27.5549	bacteria	n/a
NODE_282_length_20687_cov_21.0171	bacteria	n/a
NODE_283_length_20669_cov_18.337	bacteria	n/a
NODE_284_length_20639_cov_13.8683	prokarya	n/a
NODE_285_length_20633_cov_40.6663	prokarya	n/a
NODE_286_length_20614_cov_8.00564	archaea	n/a
NODE_287_length_20548_cov_8.34407	bacteria	n/a
NODE_288_length_20545_cov_18.6638	bacteria	n/a
NODE_289_length_20525_cov_5.82091	prokarya	n/a
NODE_290_length_20446_cov_5.23059	archaea	n/a
NODE_291_length_20393_cov_5.19761	bacteria	n/a
NODE_292_length_20345_cov_3.84835	bacteria	n/a
NODE_293_length_20338_cov_165.487	archaea	n/a
NODE_294_length_20305_cov_27.4682	bacteria	n/a
NODE_295_length_20258_cov_14.3666	bacteria	n/a
NODE_296_length_20171_cov_20.1842	bacteria	n/a
NODE_297_length_20056_cov_4.75041	bacteria	n/a
NODE_298_length_20045_cov_7.43012	archaea	n/a
NODE_299_length_19956_cov_7.70258	bacteria	n/a
NODE_300_length_19946_cov_7.86667	bacteria	n/a
NODE_301_length_19926_cov_9.51452	bacteria	n/a
NODE_302_length_19903_cov_8.45128	bacteria	n/a
NODE_303_length_19884_cov_10.2121	bacteria	n/a
NODE_304_length_19867_cov_24.809	unknown	n/a
NODE_305_length_19842_cov_8.61955	eukarya	n/a
NODE_306_length_19807_cov_48.4872	archaea	n/a
NODE_307_length_19794_cov_16.0275	archaea	n/a
NODE_308_length_19777_cov_6.26585	archaea	n/a
NODE_309_length_19765_cov_8.21669	bacteria	n/a
NODE_310_length_19764_cov_5.34416	eukarya	n/a
NODE_311_length_19718_cov_4.76631	bacteria	n/a
