PANGAEA sample id,ENA_Run_ID,MetaG/MetaT,Station,Layer,Size_fraction
TARA_R110001599,ERR2762178|ERR2762179,MetaG,209,MES,lt-0.22
TARA_R110001606,ERR2762180|ERR2762181|ERR2762182,MetaG,209,SRF,lt-0.22
TARA_R110001583,ERR2762183|ERR2762184|ERR2762185,MetaG,210,MES,lt-0.22
TARA_R110001592,ERR2762186|ERR2762187|ERR2762188,MetaG,210,SRF,lt-0.22
TARA_B100002003,ERR599004|ERR599051|ERR599060|ERR599175,MetaG,138,MES,0.22-3
TARA_B100000470,ERR598947|ERR599131,MetaG,68,MES,0.22-3
TARA_B100000446,ERR599044|ERR599149,MetaG,70,MES,0.22-3
TARA_B100000508,ERR599005|ERR599048,MetaG,72,MES,0.22-3
TARA_B100000749,ERR599000|ERR599154,MetaG,76,MES,0.22-3
TARA_B100000745,ERR599124|ERR599159,MetaG,78,MES,0.22-3
TARA_B100000809,ERR599008|ERR599125,MetaG,85,MES,0.22-3
TARA_B100001013,ERR599071|ERR599085,MetaG,98,MES,0.22-3
TARA_B100000953,ERR599055|ERR599128|ERR599132,MetaG,102,MES,0.22-3
TARA_B100001079,ERR599020,MetaG,110,MES,0.22-3
TARA_B100000586,ERR599086,MetaG,111,MES,0.22-3
TARA_B100000949,ERR599072,MetaG,112,MES,0.22-3
TARA_B100000678,ERR598999|ERR599033|ERR599083|ERR599096,MetaG,122,MES,0.22-3
