Tara Oceans ID,BioSamples ID,(ENA accession #),Station,Depth,Filter,Input_Reads,Assembl,Contigs,Mean Size (bp),N50 (bp),Accession Number (run),Related biomolecular data,Sample Code
TARA_N000002287,SAMEA2622934,ERS493109,TARA_128,DCM,0.8 - 2000,479M,27 %,1059119,450bp,544bp,"ERR1719439,ERR1719333",http://www.ebi.ac.uk/ena/data/view/ERS493109,128DCM1GGZZ14
TARA_N000002291,SAMEA2622936,ERS493111,TARA_128,DCM,0.8 - 5,389M,31 %,848103,615bp,895bp,"ERR1719380,ERR1719324",http://www.ebi.ac.uk/ena/data/view/ERS493111,128DCM1GGMM14
TARA_N000002303,SAMEA2731900,ERS493076,TARA_128,DCM,180 - 2000,285M,21 %,101401,497bp,687bp,"ERR1711867,ERR1712101",http://www.ebi.ac.uk/ena/data/view/ERS493076,128DCM1SSUU14
TARA_N000002299,SAMEA2731945,ERS493080,TARA_128,DCM,20 - 180,335M,45 %,450504,482bp,624bp,"ERR1711902,ERR1712152",http://www.ebi.ac.uk/ena/data/view/ERS493080,128DCM1QQSS14
TARA_N000002295,SAMEA2732042,ERS493092,TARA_128,DCM,5 - 20,447M,43 %,1605023,489bp,591bp,"ERR1712176,ERR1712003",http://www.ebi.ac.uk/ena/data/view/ERS493092,128DCM1MMQQ14
TARA_N000002285,SAMEA2622912,ERS493055,TARA_128,SRF,0.8 - 2000,488M,31 %,978104,534bp,724bp,"ERR1719243,ERR1719327",http://www.ebi.ac.uk/ena/data/view/ERS493055,128SUR1GGZZ14
TARA_N000002289,SAMEA2622914,ERS493057,TARA_128,SRF,0.8 - 5,446M,37 %,1018781,648bp,998bp,"ERR1719364,ERR1719311,ERR1719405",http://www.ebi.ac.uk/ena/data/view/ERS493057,128SUR1GGMM14
TARA_N000002301,SAMEA2731987,ERS493066,TARA_128,SRF,180 - 2000,233M,19 %,121575,448bp,540bp,"ERR1711989,ERR1712175",http://www.ebi.ac.uk/ena/data/view/ERS493066,128SUR1SSUU14
TARA_N000002297,SAMEA2732035,ERS493070,TARA_128,SRF,20 - 180,274M,29 %,190107,528bp,726bp,"ERR1712067,ERR1711952",http://www.ebi.ac.uk/ena/data/view/ERS493070,128SUR1QQSS14
TARA_N000002293,SAMEA2731992,ERS493086,TARA_128,SRF,5 - 20,363M,40 %,749966,460bp,557bp,"ERR1712157,ERR1712174",http://www.ebi.ac.uk/ena/data/view/ERS493086,128SUR1MMQQ14
TARA_N000002350,SAMEA2623035,ERS493262,TARA_131,DCM,0.8 - 2000,337M,30 %,475115,666bp,956bp,"ERR1711881,ERR1712036",http://www.ebi.ac.uk/ena/data/view/ERS493262,131DCM1GGZZ14
TARA_N000002354,SAMEA2623037,ERS493264,TARA_131,DCM,0.8 - 5,463M,13 %,705427,503bp,634bp,"ERR1719169,ERR1719456",http://www.ebi.ac.uk/ena/data/view/ERS493264,131DCM1GGMM14
